,Player,Squad,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
1344,Eric Martel,Köln,7.6,314,308,5,4,0,0,10,1,0,0,0,0,252,1,8
1345,Roger Marti,Cádiz,8.0,162,147,13,0,2,1,5,0,0,0,0,0,100,2,8
1346,Anthony Martial,Manchester Utd,2.8,77,71,4,0,0,0,0,0,0,0,0,0,65,2,2
1347,Aaron Martin,Genoa,3.9,140,113,27,2,0,0,20,20,5,0,5,0,96,0,4
1348,Ivan Martin,Girona,9.8,443,435,4,1,0,0,2,1,0,0,0,0,406,4,3
1349,Jonas Martin,Brest,3.6,245,236,9,6,0,3,2,1,0,0,0,0,212,0,5
1350,Gabriel Martinelli,Arsenal,8.0,373,339,32,3,1,1,55,3,26,21,0,0,295,2,7
1352,Arnau Martinez,Girona,7.1,420,353,66,16,1,2,4,50,0,0,0,0,378,1,3
1353,Emiliano Martinez,Aston Villa,11.0,428,339,87,30,0,0,0,0,0,0,0,0,357,2,1
1354,Inigo Martinez,Barcelona,5.0,417,395,20,12,3,9,0,4,0,0,0,0,367,2,0
1355,Josep Martinez,Genoa,11.0,432,304,126,53,0,3,0,0,0,0,0,0,305,2,1
1356,Lautaro Martinez,Inter,10.9,291,273,18,2,3,0,6,1,0,0,0,0,227,0,8
1357,Lisandro Martinez,Manchester Utd,4.2,266,253,12,5,1,0,2,0,0,0,0,0,245,1,1
1358,Lucas Martinez Quarta,Fiorentina,10.0,572,548,22,21,0,10,3,1,0,0,0,0,469,2,7
1359,Adam Marusic,Lazio,11.1,651,555,95,9,0,1,15,86,0,0,0,0,532,1,12
1360,Marvin,Las Palmas,4.6,173,166,6,1,0,0,19,4,1,0,1,0,129,1,3
1361,Omar Mascarell,Mallorca,4.2,173,168,5,5,0,1,1,0,0,0,0,0,137,0,3
1362,Erhan Masovic,Bochum,8.7,254,246,8,6,1,1,0,2,0,0,0,0,191,0,2
1363,Roberto Massimo,Stuttgart,0.7,33,28,5,0,0,0,0,5,0,0,0,0,26,0,3
1364,Clinton Mata,Lyon,7.1,498,446,52,9,0,1,20,43,0,0,0,0,409,0,11
1365,Jaime Mata,Getafe,6.1,176,172,4,1,0,1,16,2,0,0,0,0,113,0,5
1366,Pape Matar Sarr,Tottenham,9.2,549,539,8,4,4,1,11,4,0,0,0,0,483,2,16
