,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
200,Léo Baptistão,BRA,FW,Villarreal,es La Liga,22.0,1992.0,26.0,12.0,1266.0,14.1,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.21,0.07,0.28,0.21,0.28
201,Federico Barba,ITA,DF,Empoli,it Serie A,21.0,1993.0,10.0,10.0,889.0,9.9,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1,0.1,0.0,0.1
202,Federico Barba,ITA,DF,Stuttgart,de Bundesliga,21.0,1993.0,2.0,2.0,139.0,1.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.65,0.0,0.65,0.65,0.65
203,Danilo Barbosa,BRA,MF,Valencia,es La Liga,19.0,1996.0,19.0,16.0,1362.0,15.1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Mariano Barbosa,ARG,GK,Villarreal,es La Liga,31.0,1984.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Francesco Bardi,ITA,GK,Frosinone,it Serie A,23.0,1992.0,2.0,2.0,119.0,1.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
206,Phil Bardsley,SYC,DF,Stoke City,eng Premier League,30.0,1985.0,11.0,9.0,817.0,9.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11,0.11,0.0,0.11
208,Philipp Bargfrede,DEU,MF,Werder Bremen,de Bundesliga,26.0,1989.0,14.0,14.0,1183.0,13.1,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.08,0.08,0.0,0.08
209,Ross Barkley,GBR,MF,Everton,eng Premier League,21.0,1993.0,38.0,36.0,3075.0,34.2,8.0,8.0,6.0,2.0,2.0,4.0,0.0,0.23,0.23,0.47,0.18,0.41
210,Abdelaziz Barrada,MAR,MF,Marseille,fr Ligue 1,26.0,1989.0,24.0,17.0,1443.0,16.0,1.0,6.0,1.0,0.0,1.0,5.0,2.0,0.06,0.37,0.44,0.06,0.44
211,Antonio Barragán,ESP,DF,Valencia,es La Liga,28.0,1987.0,24.0,19.0,1658.0,18.4,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
212,David Barral,ESP,FW,Granada,es La Liga,32.0,1983.0,14.0,3.0,371.0,4.1,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
213,Iñigo Barrenetxea,ESP,MF,Eibar,es La Liga,21.0,1994.0,2.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Álex Barrera,ESP,MF,Sporting Gijón,es La Liga,24.0,1991.0,5.0,0.0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,Édgar Barreto,PRY,MF,Sampdoria,it Serie A,31.0,1984.0,30.0,26.0,2162.0,24.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.04,0.04,0.0,0.04
216,Modou Barrow,GMB,"MF,FW",Swansea City,eng Premier League,22.0,1992.0,22.0,6.0,791.0,8.8,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.11,0.23,0.34,0.11,0.34
217,Gareth Barry,GBR,MF,Everton,eng Premier League,34.0,1981.0,33.0,32.0,2837.0,31.5,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.03,0.03,0.0,0.03
218,Fin Bartels,DEU,"MF,FW",Werder Bremen,de Bundesliga,28.0,1987.0,30.0,22.0,2068.0,23.0,8.0,1.0,8.0,0.0,0.0,6.0,1.0,0.35,0.04,0.39,0.35,0.39
219,Maxime Barthelmé,FRA,MF,Lorient,fr Ligue 1,26.0,1988.0,24.0,16.0,1261.0,14.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.36,0.36,0.0,0.36
220,Kyle Bartley,GBR,DF,Swansea City,eng Premier League,24.0,1991.0,5.0,3.0,286.0,3.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
221,Marc Bartra,ESP,DF,Barcelona,es La Liga,24.0,1991.0,13.0,4.0,503.0,5.6,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.36,0.18,0.54,0.36,0.54
222,Andrea Barzagli,ITA,DF,Juventus,it Serie A,34.0,1981.0,31.0,31.0,2737.0,30.4,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.03,0.0,0.03,0.03,0.03
223,Marko Baša,MNE,DF,Lille,fr Ligue 1,32.0,1982.0,15.0,15.0,1331.0,14.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
224,Daniele Baselli,ITA,MF,Torino,it Serie A,23.0,1992.0,35.0,25.0,2264.0,25.2,4.0,3.0,4.0,0.0,0.0,6.0,0.0,0.16,0.12,0.28,0.16,0.28
