Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
Rayan Aït Nouri,35,FRA,"DF,MF",Wolves,eng Premier League,20.0,2001.0,23.0,20.0,1828.0,20.3,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.05,0.1,0.15,0.05,0.15,0.8,0.8,1.4,2.2,0.04,0.07,0.11,0.04,0.11,35,FRA,"DF,MF",Wolves,eng Premier League,20.0,2001.0,20.3,1.0,13.0,4.0,30.8,0.64,0.2,0.08,0.25,17.6,0.0,0.0,0.0,0.8,0.8,0.06,0.2,0.2
Kristoffer Ajer,36,NOR,DF,Brentford,eng Premier League,23.0,1998.0,24.0,23.0,1995.0,22.2,1.0,3.0,1.0,0.0,0.0,5.0,0.0,0.05,0.14,0.18,0.05,0.18,0.8,0.8,2.2,3.1,0.04,0.1,0.14,0.04,0.14,36,NOR,DF,Brentford,eng Premier League,23.0,1998.0,22.2,1.0,7.0,1.0,14.3,0.32,0.05,0.14,1.0,8.8,0.0,0.0,0.0,0.8,0.8,0.12,0.2,0.2
Ludovic Ajorque,37,REU,FW,Strasbourg,fr Ligue 1,27.0,1994.0,36.0,31.0,2738.0,30.4,12.0,8.0,9.0,3.0,3.0,5.0,1.0,0.39,0.26,0.66,0.3,0.56,11.1,8.7,7.7,16.4,0.36,0.25,0.62,0.29,0.54,37,REU,FW,Strasbourg,fr Ligue 1,27.0,1994.0,30.4,12.0,56.0,24.0,42.9,1.84,0.79,0.16,0.38,13.5,0.0,3.0,3.0,11.1,8.7,0.16,0.9,0.3
Manuel Akanji,38,CHE,DF,Dortmund,de Bundesliga,26.0,1995.0,26.0,25.0,2261.0,25.1,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.04,0.0,0.04,0.04,0.04,1.9,1.9,0.1,2.0,0.08,0.01,0.08,0.08,0.08,38,CHE,DF,Dortmund,de Bundesliga,26.0,1995.0,25.1,1.0,13.0,3.0,23.1,0.52,0.12,0.08,0.33,11.2,1.0,0.0,0.0,1.9,1.9,0.15,-0.9,-0.9
Carlos Akapo,39,GNQ,DF,Cádiz,es La Liga,28.0,1993.0,25.0,21.0,1844.0,20.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,0.03,0.02,0.05,0.03,0.05,39,GNQ,DF,Cádiz,es La Liga,28.0,1993.0,20.5,0.0,10.0,1.0,10.0,0.49,0.05,0.0,0.0,19.8,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5
Marley Aké,40,FRA,"FW,MF",Juventus,it Serie A,20.0,2001.0,4.0,0.0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,FRA,"FW,MF",Juventus,it Serie A,20.0,2001.0,0.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Nathan Aké,41,NLD,DF,Manchester City,eng Premier League,26.0,1995.0,14.0,10.0,923.0,10.3,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.7,0.7,0.5,1.3,0.07,0.05,0.12,0.07,0.12,41,NLD,DF,Manchester City,eng Premier League,26.0,1995.0,10.3,2.0,5.0,2.0,40.0,0.49,0.2,0.4,1.0,7.3,0.0,0.0,0.0,0.7,0.7,0.15,1.3,1.3
Ilias Akhomach,42,ESP,FW,Barcelona,es La Liga,17.0,2004.0,2.0,2.0,124.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.9,0.14,0.53,0.67,0.14,0.67,42,ESP,FW,Barcelona,es La Liga,17.0,2004.0,1.4,0.0,4.0,2.0,50.0,2.9,1.45,0.0,0.0,19.0,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2
Maghnes Akliouche,43,FRA,"MF,FW",Monaco,fr Ligue 1,19.0,2002.0,7.0,0.0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.16,0.07,0.23,0.16,0.23,43,FRA,"MF,FW",Monaco,fr Ligue 1,19.0,2002.0,0.6,0.0,2.0,1.0,50.0,3.33,1.67,0.0,0.0,16.0,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1
Paul Akouokou,44,CIV,MF,Betis,es La Liga,23.0,1997.0,8.0,6.0,516.0,5.7,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.01,0.03,0.04,0.01,0.04,44,CIV,MF,Betis,es La Liga,23.0,1997.0,5.7,0.0,2.0,0.0,0.0,0.35,0.0,0.0,,22.8,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1
