,Player,Squad,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
1587,Luca Ranieri,Fiorentina,2.9,0,1,0,0.0,0.35,0.00,0.00,0.0,9.6,0,0,0,0.0,0.0,0.03,0.0,0.0
1588,Lilian Raolisoa,Angers,0.5,0,1,0,0.0,2.14,0.00,0.00,0.0,26.5,0,0,0,0.0,0.0,0.05,0.0,0.0
1589,Raphinha,Barcelona,5.0,3,16,7,43.8,3.20,1.40,0.19,0.43,18.7,2,0,0,3.1,3.1,0.19,-0.1,-0.1
1590,Marcus Rashford,Manchester Utd,3.5,1,4,3,75.0,1.14,0.85,0.25,0.33,18.7,0,0,0,0.4,0.4,0.10,+0.6,+0.6
1591,Giacomo Raspadori,Napoli,2.1,0,6,1,16.7,2.84,0.47,0.00,0.00,17.0,0,0,0,0.6,0.6,0.10,-0.6,-0.6
1592,Andrei Ratiu,Rayo Vallecano,2.9,1,4,1,25.0,1.39,0.35,0.25,1.00,15.9,0,0,0,0.5,0.5,0.12,+0.5,+0.5
1593,Raul,Osasuna,1.4,1,2,1,50.0,1.44,0.72,0.50,1.00,28.7,0,0,0,0.1,0.1,0.03,+0.9,+0.9
1594,David Raum,RB Leipzig,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,19.5,1,0,0,0.1,0.1,0.04,-0.1,-0.1
1595,Rayan Raveloson,Auxerre,3.8,1,10,4,40.0,2.65,1.06,0.10,0.25,21.8,1,0,0,0.6,0.6,0.06,+0.4,+0.4
1596,David Raya,Arsenal,4.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1597,Abderrahman Rebbach,Alavés,0.8,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1598,Ante Rebic,Lecce,0.7,0,1,0,0.0,1.48,0.00,0.00,0.0,12.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
1599,Harrison Reed,Fulham,0.2,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1600,Bobby Reid,Leicester City,1.7,0,2,1,50.0,1.21,0.60,0.00,0.00,38.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
1601,Tijjani Reijnders,Milan,2.8,0,7,3,42.9,2.49,1.07,0.00,0.00,22.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2
1602,Pepe Reina,Como,3.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1603,Rocco Reitz,Gladbach,1.3,0,3,2,66.7,2.27,1.51,0.00,0.00,15.0,0,0,0,0.3,0.3,0.10,-0.3,-0.3
1604,Nicolai Remberg,Holstein Kiel,1.3,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1605,Alex Remiro,Real Sociedad,6.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1606,Guillaume Restes,Toulouse,4.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1607,Mateo Retegui,Atalanta,3.4,4,12,5,41.7,3.48,1.45,0.25,0.60,11.5,0,1,1,3.1,2.3,0.19,+0.9,+0.7
1608,Elvis Rexhbecaj,Augsburg,3.0,1,4,2,50.0,1.33,0.67,0.25,0.50,19.5,0,0,0,0.5,0.5,0.13,+0.5,+0.5
1609,Gio Reyna,Dortmund,0.1,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
