,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
98,Djavan Anderson,nl NED,DF,Lazio,Serie A,25.0,1995.0,0.8,32.0,25.0,7.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0
99,Elliot Anderson,sct SCO,MF,Newcastle Utd,Premier League,17.0,2002.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
100,Felipe Anderson,br BRA,"FW,MF",West Ham,Premier League,27.0,1993.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
101,Sebastian Andersson,se SWE,FW,Köln,Bundesliga,29.0,1991.0,12.5,247.0,221.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,168.0,1.0,6.0
102,Nícolas Andrade,br BRA,GK,Udinese,Serie A,32.0,1988.0,2.0,40.0,29.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0
104,Benjamin André,fr FRA,MF,Lille,Ligue 1,29.0,1990.0,32.1,2040.0,2005.0,30.0,28.0,0.0,16.0,14.0,2.0,0.0,0.0,0.0,0.0,1703.0,5.0,35.0
105,Robert Andrich,de GER,MF,Union Berlin,Bundesliga,25.0,1994.0,28.1,1442.0,1408.0,25.0,20.0,2.0,12.0,17.0,2.0,0.0,0.0,0.0,0.0,1127.0,9.0,21.0
106,Victorien Angban,ci CIV,MF,Metz,Ligue 1,23.0,1996.0,18.6,890.0,871.0,18.0,15.0,0.0,9.0,9.0,3.0,0.0,0.0,0.0,0.0,780.0,1.0,11.0
107,Ángel,es ESP,GK,Granada,La Liga,18.0,2002.0,1.0,31.0,12.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
108,José Ángel,es ESP,DF,Eibar,La Liga,30.0,1989.0,10.0,692.0,552.0,135.0,19.0,0.0,9.0,59.0,115.0,1.0,0.0,0.0,0.0,510.0,5.0,15.0
109,Miguel Ángel Rubio,es ESP,DF,Valladolid,La Liga,22.0,1998.0,1.5,54.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0
110,Angeliño,es ESP,"DF,FW",RB Leipzig,Bundesliga,23.0,1997.0,24.0,1500.0,1207.0,284.0,44.0,1.0,4.0,184.0,193.0,47.0,23.0,15.0,0.0,1057.0,9.0,36.0
111,Davide Angelo Ghislandi,it ITA,DF,Atalanta,Serie A,19.0,2001.0,0.1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
112,Philip Ankhrah,gh GHA,MF,Hellas Verona,Serie A,17.0,2002.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Cristian Ansaldi,ar ARG,"DF,FW",Torino,Serie A,33.0,1986.0,21.6,997.0,757.0,239.0,32.0,0.0,26.0,177.0,185.0,22.0,3.0,16.0,0.0,674.0,1.0,28.0
114,Waldemar Anton,de GER,DF,Stuttgart,Bundesliga,24.0,1996.0,30.1,2097.0,1993.0,100.0,60.0,1.0,6.0,11.0,40.0,0.0,0.0,0.0,0.0,1835.0,4.0,22.0
115,Michail Antonio,jm JAM,FW,West Ham,Premier League,30.0,1990.0,21.9,494.0,481.0,11.0,1.0,0.0,3.0,31.0,8.0,0.0,0.0,0.0,0.0,316.0,2.0,20.0
116,José Antonio Miranda,gq EQG,"MF,DF",Getafe,La Liga,22.0,1998.0,0.3,16.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
117,Valentin Antov,bg BUL,DF,Bologna,Serie A,19.0,2000.0,2.6,122.0,109.0,13.0,6.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0
118,Houssem Aouar,fr FRA,"MF,FW",Lyon,Ligue 1,22.0,1998.0,19.8,991.0,945.0,41.0,14.0,2.0,5.0,19.0,7.0,8.0,2.0,1.0,0.0,833.0,5.0,23.0
119,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,Ligue 1,18.0,2002.0,19.2,818.0,680.0,136.0,45.0,4.0,14.0,130.0,5.0,77.0,26.0,38.0,3.0,571.0,2.0,22.0
120,Dennis Appiah,fr FRA,DF,Nantes,Ligue 1,28.0,1992.0,17.3,868.0,676.0,189.0,13.0,0.0,2.0,47.0,176.0,0.0,0.0,0.0,0.0,628.0,3.0,18.0
121,Aritz Arambarri,es ESP,DF,Real Sociedad,La Liga,22.0,1998.0,0.3,19.0,15.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
122,Mauro Arambarri,uy URU,MF,Getafe,La Liga,24.0,1995.0,33.1,1093.0,964.0,123.0,51.0,2.0,36.0,123.0,2.0,68.0,41.0,13.0,0.0,739.0,6.0,14.0
123,Charles Aránguiz,cl CHI,MF,Leverkusen,Bundesliga,31.0,1989.0,18.5,1168.0,1122.0,44.0,35.0,0.0,5.0,4.0,9.0,0.0,0.0,0.0,0.0,998.0,2.0,19.0
124,Luiz Araújo,br BRA,MF,Lille,Ligue 1,24.0,1996.0,16.6,606.0,588.0,16.0,4.0,1.0,11.0,27.0,8.0,4.0,3.0,0.0,0.0,455.0,2.0,17.0
125,Néstor Araujo,mx MEX,DF,Celta Vigo,La Liga,28.0,1991.0,27.0,1590.0,1562.0,26.0,24.0,1.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,1321.0,2.0,9.0
126,Ronald Araújo,uy URU,DF,Barcelona,La Liga,21.0,1999.0,16.8,1075.0,1037.0,37.0,28.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,985.0,1.0,4.0
127,Anaitz Arbilla,es ESP,DF,Eibar,La Liga,33.0,1987.0,31.2,1932.0,1652.0,278.0,88.0,0.0,82.0,43.0,190.0,0.0,0.0,0.0,0.0,1459.0,2.0,21.0
128,Alphonse Areola,fr FRA,GK,Fulham,Premier League,27.0,1993.0,36.0,1014.0,663.0,348.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.0,3.0,0.0
130,Santiago Arias,co COL,DF,Leverkusen,Bundesliga,28.0,1992.0,1.0,57.0,49.0,8.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0
131,Karim Aribi,dz ALG,FW,Nîmes,Ligue 1,26.0,1994.0,3.3,68.0,59.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,3.0
132,Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,La Liga,21.0,1999.0,0.5,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
133,Nicolò Armini,it ITA,DF,Lazio,Serie A,19.0,2001.0,0.1,5.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
134,Stuart Armstrong,sct SCO,MF,Southampton,Premier League,28.0,1992.0,30.7,1298.0,1203.0,89.0,14.0,2.0,4.0,40.0,16.0,2.0,0.0,0.0,0.0,1021.0,6.0,52.0
135,Maximilian Arnold,de GER,MF,Wolfsburg,Bundesliga,26.0,1994.0,28.7,1664.0,1395.0,259.0,140.0,3.0,20.0,139.0,11.0,105.0,53.0,33.0,0.0,1323.0,10.0,19.0
136,Toluwalase Arokodare,ng NGA,"FW,MF",Köln,Bundesliga,19.0,2000.0,1.2,37.0,35.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0
137,Sergio Arribas,es ESP,"MF,FW",Real Madrid,La Liga,18.0,2001.0,1.5,89.0,86.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,72.0,1.0,3.0
138,Kepa Arrizabalaga,es ESP,GK,Chelsea,Premier League,25.0,1994.0,6.5,246.0,193.0,53.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0
139,Tolgay Arslan,de GER,MF,Udinese,Serie A,29.0,1990.0,20.2,890.0,853.0,31.0,26.0,1.0,10.0,13.0,3.0,2.0,1.0,1.0,0.0,749.0,6.0,12.0
140,Kwadwo Asamoah,gh GHA,"DF,MF",Cagliari,Serie A,31.0,1988.0,2.5,114.0,102.0,12.0,1.0,0.0,0.0,7.0,10.0,1.0,0.0,0.0,0.0,95.0,0.0,1.0
