,Player,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
2471,German Sanchez,25.5,2,13,4,30.8,0.51,0.16,0.15,0.50,9.4,0,0,0,1.4,1.4,0.11,+0.6,+0.6
2472,Manu Sanchez,25.1,1,6,2,33.3,0.24,0.08,0.17,0.50,21.0,0,0,0,0.4,0.4,0.07,+0.6,+0.6
2474,Jadon Sancho,21.1,3,26,9,34.6,1.23,0.43,0.12,0.33,14.1,0,0,0,3.6,3.6,0.14,-0.6,-0.6
2476,Alex Sandro,19.8,0,9,2,22.2,0.46,0.10,0.00,0.00,13.0,0,0,0,0.9,0.9,0.10,-0.9,-0.9
2477,Leroy Sane,22.0,7,89,32,36.0,4.05,1.46,0.08,0.22,20.8,8,0,0,11.4,11.4,0.13,-4.4,-4.4
2478,Oier Sanjurjo,8.4,1,9,1,11.1,1.07,0.12,0.11,1.00,17.5,0,0,0,0.7,0.7,0.08,+0.3,+0.3
2479,Mohamed Sankoh,0.0,0,1,1,100.0,22.50,22.50,0.00,0.00,15.5,0,0,0,0.1,0.1,0.10,-0.1,-0.1
2481,Nicola Sansone,10.0,2,24,6,25.0,2.41,0.60,0.08,0.33,20.5,1,0,0,3.5,3.5,0.14,-1.5,-1.5
2482,Baptiste Santamaria,28.0,2,34,7,20.6,1.22,0.25,0.06,0.29,18.0,0,0,0,1.9,1.9,0.05,+0.1,+0.1
2484,Federico Santander,0.7,1,2,1,50.0,2.69,1.34,0.50,1.00,13.3,0,0,0,0.6,0.6,0.31,+0.4,+0.4
2486,Samir Santos,18.6,0,8,2,25.0,0.43,0.11,0.00,0.00,13.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5
2487,Samir Santos,15.8,0,7,3,42.9,0.44,0.19,0.00,0.00,12.8,0,0,0,0.8,0.8,0.11,-0.8,-0.8
2490,Riccardo Saponara,14.3,3,37,14,37.8,2.59,0.98,0.08,0.21,20.1,0,0,0,2.2,2.2,0.06,+0.8,+0.8
2491,Pablo Sarabia,0.2,1,1,1,100.0,4.09,4.09,1.00,1.00,3.6,0,0,0,1.0,1.0,0.97,0.0,0.0
2493,Josh Sargent,17.5,2,24,2,8.3,1.37,0.11,0.08,1.00,17.1,0,0,0,2.5,2.5,0.10,-0.5,-0.5
2497,Ismaila Sarr,20.7,5,39,15,38.5,1.89,0.73,0.13,0.33,18.3,0,0,1,4.8,4.0,0.10,+0.2,+1.0
2502,Martin Satriano,10.4,4,24,10,41.7,2.32,0.97,0.17,0.40,15.7,0,0,0,3.4,3.4,0.14,+0.6,+0.6
2503,Teji Savanier,26.8,8,77,34,44.2,2.87,1.27,0.06,0.15,25.1,22,3,4,7.1,3.9,0.05,+0.9,+1.1
2504,Esteban Saveljich,18.9,0,9,3,33.3,0.48,0.16,0.00,0.00,8.4,0,0,0,0.6,0.6,0.07,-0.6,-0.6
2505,Stefan Savic,27.1,0,15,5,33.3,0.55,0.18,0.00,0.00,8.8,0,0,0,1.9,1.9,0.13,-1.9,-1.9
2506,Joe Scally,21.2,1,18,6,33.3,0.85,0.28,0.06,0.17,18.5,0,0,0,1.4,1.4,0.08,-0.4,-0.4
2507,Giorgio Scalvini,8.5,1,16,3,18.8,1.89,0.35,0.06,0.33,11.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3
2508,Gianluca Scamacca,23.8,16,78,36,46.2,3.27,1.51,0.19,0.42,17.4,1,1,1,11.0,10.2,0.13,+5.0,+4.8
2510,Kevin Schade,9.2,4,19,9,47.4,2.06,0.97,0.21,0.44,13.1,0,0,0,2.1,2.0,0.11,+1.9,+2.0
2511,Andras Schafer,2.7,1,7,3,42.9,2.64,1.13,0.14,0.33,19.1,0,0,0,0.6,0.6,0.09,+0.4,+0.4
2512,Fabian Schar,24.0,2,21,8,38.1,0.88,0.33,0.10,0.25,19.5,4,0,0,1.2,1.2,0.06,+0.8,+0.8
2513,Louis Schaub,7.3,1,14,2,14.3,1.93,0.28,0.07,0.50,16.7,0,0,0,1.3,1.3,0.09,-0.3,-0.3
2514,Andrea Schiavone,6.3,1,2,1,50.0,0.32,0.16,0.50,1.00,12.4,0,0,0,0.2,0.2,0.08,+0.8,+0.8
2515,Patrik Schick,23.1,24,88,43,48.9,3.82,1.86,0.26,0.53,12.8,2,1,2,18.1,16.5,0.19,+5.9,+6.5
2516,Kingsley Schindler,3.9,1,3,1,33.3,0.77,0.26,0.33,1.00,16.5,0,0,0,0.4,0.4,0.12,+0.6,+0.6
2517,Xaver Schlager,11.6,0,10,1,10.0,0.87,0.09,0.00,0.00,21.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3
2519,Nico Schlotterbeck,30.9,4,36,16,44.4,1.16,0.52,0.11,0.25,13.2,0,0,0,3.6,3.6,0.10,+0.4,+0.4
2520,Jeffrey Schlupp,20.6,4,33,9,27.3,1.60,0.44,0.12,0.44,14.3,0,0,0,3.4,3.4,0.10,+0.6,+0.6
2523,Jonathan Schmid,6.5,0,5,1,20.0,0.77,0.15,0.00,0.00,22.1,1,0,0,0.2,0.2,0.03,-0.2,-0.2
2524,Benno Schmitz,26.9,0,12,3,25.0,0.45,0.11,0.00,0.00,21.6,0,0,0,0.5,0.5,0.04,-0.5,-0.5
2527,Alessandro Schopf,26.6,1,35,9,25.7,1.31,0.34,0.03,0.11,21.4,2,0,0,2.0,2.0,0.06,-1.0,-1.0
