Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
Franco Cervi,439,ARG,MF,Celta Vigo,La Liga,28.0,1994.0,12.0,11.0,927.0,10.3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.19,0.19,0.0,0.19,0.6,0.6,0.7,1.3,0.06,0.07,0.13,0.06,0.13,439,ARG,MF,Celta Vigo,La Liga,28.0,1994.0,10.3,0.0,12.0,3.0,25.0,1.17,0.29,0.0,0.0,22.4,0.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6
Julio César Enciso,440,PRY,"FW,MF",Brighton,Premier League,18.0,2004.0,1.0,0.0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,1.21,0.0,1.21,1.21,1.21,440,PRY,"FW,MF",Brighton,Premier League,18.0,2004.0,0.3,0.0,4.0,3.0,75.0,13.85,10.38,0.0,0.0,24.4,0.0,0.0,0.0,0.3,0.3,0.09,-0.3,-0.3
Leonardo César Jardim,442,BRA,GK,Lille,Ligue 1,27.0,1995.0,6.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,442,BRA,GK,Lille,Ligue 1,27.0,1995.0,6.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,
Julian Chabot,443,DEU,DF,Köln,Bundesliga,24.0,1998.0,2.0,2.0,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.45,0.01,0.46,0.45,0.46,443,DEU,DF,Köln,Bundesliga,24.0,1998.0,1.4,0.0,3.0,0.0,0.0,2.14,0.0,0.0,,3.9,0.0,0.0,0.0,0.6,0.6,0.21,-0.6,-0.6
El Chadaille Bitshiabu,444,FRA,DF,Paris S-G,Ligue 1,17.0,2005.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444,FRA,DF,Paris S-G,Ligue 1,17.0,2005.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Fares Chaïbi,445,FRA,"FW,MF",Toulouse,Ligue 1,19.0,2002.0,12.0,8.0,742.0,8.2,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.24,0.49,0.73,0.24,0.73,1.3,1.3,2.7,3.9,0.15,0.32,0.48,0.15,0.48,445,FRA,"FW,MF",Toulouse,Ligue 1,19.0,2002.0,8.2,2.0,19.0,5.0,26.3,2.3,0.61,0.11,0.4,14.6,0.0,0.0,0.0,1.3,1.3,0.07,0.7,0.7
Nathaniel Chalobah,446,GBR,MF,Fulham,Premier League,27.0,1994.0,3.0,1.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.77,0.0,0.77,0.77,0.77,446,GBR,MF,Fulham,Premier League,27.0,1994.0,0.1,0.0,1.0,1.0,100.0,8.18,8.18,0.0,0.0,10.1,0.0,0.0,0.0,0.1,0.1,0.09,-0.1,-0.1
Trevoh Chalobah,447,GBR,DF,Chelsea,Premier League,23.0,1999.0,7.0,7.0,630.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.05,0.0,0.05,0.05,0.05,447,GBR,DF,Chelsea,Premier League,23.0,1999.0,7.0,0.0,4.0,1.0,25.0,0.57,0.14,0.0,0.0,9.7,0.0,0.0,0.0,0.3,0.3,0.09,-0.3,-0.3
Calum Chambers,448,GBR,DF,Aston Villa,Premier League,27.0,1995.0,3.0,1.0,101.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448,GBR,DF,Aston Villa,Premier League,27.0,1995.0,1.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Timothy Chandler,449,USA,DF,Eint Frankfurt,Bundesliga,32.0,1990.0,4.0,0.0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,449,USA,DF,Eint Frankfurt,Bundesliga,32.0,1990.0,0.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Gaëtan Charbonnier,450,FRA,FW,Auxerre,Ligue 1,33.0,1988.0,5.0,3.0,232.0,2.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.39,0.0,0.39,0.39,0.39,0.6,0.6,0.2,0.7,0.23,0.06,0.29,0.23,0.29,450,FRA,FW,Auxerre,Ligue 1,33.0,1988.0,2.6,1.0,7.0,1.0,14.3,2.72,0.39,0.14,1.0,23.2,0.0,0.0,0.0,0.6,0.6,0.09,0.4,0.4
Brendan Chardonnet,451,FRA,DF,Brest,Ligue 1,27.0,1994.0,13.0,12.0,1125.0,12.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,0.03,0.02,0.05,0.03,0.05,451,FRA,DF,Brest,Ligue 1,27.0,1994.0,12.5,0.0,5.0,0.0,0.0,0.4,0.0,0.0,,11.2,0.0,0.0,0.0,0.4,0.4,0.07,-0.4,-0.4
Xavier Chavalerin,452,FRA,MF,Troyes,Ligue 1,31.0,1991.0,12.0,6.0,633.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.14,0.14,0.28,0.14,0.28,0.4,0.4,1.3,1.7,0.05,0.19,0.24,0.05,0.24,452,FRA,MF,Troyes,Ligue 1,31.0,1991.0,7.0,1.0,10.0,5.0,50.0,1.42,0.71,0.1,0.2,22.7,0.0,0.0,0.0,0.4,0.4,0.04,0.6,0.6
Pep Chavarría,453,ESP,"FW,DF",Rayo Vallecano,La Liga,24.0,1998.0,5.0,0.0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,453,ESP,"FW,DF",Rayo Vallecano,La Liga,24.0,1998.0,0.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Rayan Cherki,454,FRA,"MF,FW",Lyon,Ligue 1,19.0,2003.0,11.0,1.0,208.0,2.3,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3,1.3,0.0,1.3,0.6,0.6,1.1,1.7,0.26,0.47,0.73,0.26,0.73,454,FRA,"MF,FW",Lyon,Ligue 1,19.0,2003.0,2.3,0.0,9.0,2.0,22.2,3.89,0.87,0.0,0.0,20.7,1.0,0.0,0.0,0.6,0.6,0.07,-0.6,-0.6
Ilyes Cheti,455,DZA,DF,Angers,Ligue 1,27.0,1995.0,2.0,0.0,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.26,0.26,0.0,0.26,455,DZA,DF,Angers,Ligue 1,27.0,1995.0,0.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Lucas Chevalier,456,FRA,GK,Lille,Ligue 1,21.0,2001.0,8.0,8.0,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456,FRA,GK,Lille,Ligue 1,21.0,2001.0,8.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Fabio Chiarodia,457,ITA,DF,Werder Bremen,Bundesliga,17.0,2005.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457,ITA,DF,Werder Bremen,Bundesliga,17.0,2005.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Federico Chiesa,458,ITA,FW,Juventus,Serie A,25.0,1997.0,1.0,0.0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458,ITA,FW,Juventus,Serie A,25.0,1997.0,0.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Ben Chilwell,459,GBR,"DF,MF",Chelsea,Premier League,25.0,1996.0,9.0,4.0,419.0,4.7,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.21,0.21,0.43,0.21,0.43,0.3,0.3,0.1,0.5,0.07,0.03,0.1,0.07,0.1,459,GBR,"DF,MF",Chelsea,Premier League,25.0,1996.0,4.7,1.0,3.0,1.0,33.3,0.64,0.21,0.33,1.0,15.3,0.0,0.0,0.0,0.3,0.3,0.1,0.7,0.7
Vlad Chiricheș,460,ROU,DF,Cremonese,Serie A,32.0,1989.0,5.0,5.0,342.0,3.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460,ROU,DF,Cremonese,Serie A,32.0,1989.0,3.8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Pedro Chirivella,461,ESP,MF,Nantes,Ligue 1,25.0,1997.0,13.0,13.0,1110.0,12.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.1,1.7,0.05,0.09,0.13,0.05,0.13,461,ESP,MF,Nantes,Ligue 1,25.0,1997.0,12.3,0.0,10.0,3.0,30.0,0.81,0.24,0.0,0.0,22.2,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6
Joris Chotard,462,FRA,MF,Montpellier,Ligue 1,21.0,2001.0,13.0,11.0,952.0,10.6,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.09,0.09,0.0,0.09,0.1,0.1,1.4,1.5,0.01,0.13,0.14,0.01,0.14,462,FRA,MF,Montpellier,Ligue 1,21.0,2001.0,10.6,0.0,4.0,0.0,0.0,0.38,0.0,0.0,,27.7,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
Andreas Christensen,463,DNK,DF,Barcelona,La Liga,26.0,1996.0,5.0,4.0,318.0,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.05,0.01,0.06,0.05,0.06,463,DNK,DF,Barcelona,La Liga,26.0,1996.0,3.5,0.0,1.0,0.0,0.0,0.28,0.0,0.0,,4.0,0.0,0.0,0.0,0.2,0.2,0.16,-0.2,-0.2
Oliver Christensen,464,DNK,GK,Hertha BSC,Bundesliga,23.0,1999.0,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464,DNK,GK,Hertha BSC,Bundesliga,23.0,1999.0,14.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Ryan Christie,465,SYC,"MF,FW",Bournemouth,Premier League,27.0,1995.0,12.0,9.0,707.0,7.9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.13,0.0,0.13,0.13,0.13,1.3,1.3,0.3,1.6,0.17,0.04,0.21,0.17,0.21,465,SYC,"MF,FW",Bournemouth,Premier League,27.0,1995.0,7.9,1.0,14.0,4.0,28.6,1.78,0.51,0.07,0.25,14.5,0.0,0.0,0.0,1.3,1.3,0.09,-0.3,-0.3
Carney Chukwuemeka,466,GBR,MF,Chelsea,Premier League,19.0,2003.0,3.0,0.0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.17,0.05,0.22,0.17,0.22,466,GBR,MF,Chelsea,Premier League,19.0,2003.0,0.5,0.0,1.0,1.0,100.0,1.96,1.96,0.0,0.0,12.4,0.0,0.0,0.0,0.1,0.1,0.09,-0.1,-0.1
Samuel Chukwueze,468,NGA,"FW,MF",Villarreal,La Liga,23.0,1999.0,13.0,5.0,538.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17,0.17,0.0,0.17,0.9,0.9,1.0,2.0,0.16,0.17,0.33,0.16,0.33,468,NGA,"FW,MF",Villarreal,La Liga,23.0,1999.0,6.0,0.0,14.0,2.0,14.3,2.34,0.33,0.0,0.0,18.5,0.0,0.0,0.0,0.9,0.9,0.07,-0.9,-0.9
Darko Churlinov,469,MKD,FW,Stuttgart,Bundesliga,22.0,2000.0,1.0,0.0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469,MKD,FW,Stuttgart,Bundesliga,22.0,2000.0,0.3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Víctor Chust,470,ESP,DF,Cádiz,La Liga,22.0,2000.0,11.0,9.0,851.0,9.5,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.11,0.0,0.11,0.11,0.11,0.8,0.8,0.0,0.8,0.08,0.0,0.09,0.08,0.09,470,ESP,DF,Cádiz,La Liga,22.0,2000.0,9.5,1.0,1.0,1.0,100.0,0.11,0.11,1.0,1.0,3.7,0.0,0.0,0.0,0.8,0.8,0.8,0.2,0.2
Yanis Cimignani,471,FRA,"MF,DF",Ajaccio,Ligue 1,20.0,2002.0,8.0,3.0,279.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.06,0.03,0.09,0.06,0.09,471,FRA,"MF,DF",Ajaccio,Ligue 1,20.0,2002.0,3.1,0.0,6.0,2.0,33.3,1.94,0.65,0.0,0.0,24.6,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2
Daniel Ciofani,472,ITA,FW,Cremonese,Serie A,37.0,1985.0,11.0,2.0,231.0,2.6,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.78,0.0,0.78,0.39,0.39,2.0,0.2,0.0,0.3,0.77,0.02,0.79,0.1,0.11,472,ITA,FW,Cremonese,Serie A,37.0,1985.0,2.6,2.0,6.0,2.0,33.3,2.34,0.78,0.17,0.5,16.7,0.0,1.0,2.0,2.0,0.2,0.04,0.0,0.8
Pathé Ciss,473,SEN,"MF,DF",Rayo Vallecano,La Liga,28.0,1994.0,12.0,6.0,622.0,6.9,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.14,0.0,0.14,0.14,0.14,1.3,1.3,0.1,1.4,0.18,0.02,0.2,0.18,0.2,473,SEN,"MF,DF",Rayo Vallecano,La Liga,28.0,1994.0,6.9,1.0,10.0,3.0,30.0,1.45,0.43,0.1,0.33,19.3,0.0,0.0,0.0,1.3,1.3,0.13,-0.3,-0.3
Souleymane Cissé,474,FRA,DF,Clermont Foot,Ligue 1,20.0,2002.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474,FRA,DF,Clermont Foot,Ligue 1,20.0,2002.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Patrick Ciurria,475,ITA,"DF,MF",Monza,Serie A,27.0,1995.0,11.0,6.0,606.0,6.7,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.45,0.45,0.0,0.45,0.4,0.4,2.7,3.1,0.06,0.4,0.46,0.06,0.46,475,ITA,"DF,MF",Monza,Serie A,27.0,1995.0,6.7,0.0,12.0,3.0,25.0,1.78,0.45,0.0,0.0,23.4,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4
Bobby Clark,476,GBR,MF,Liverpool,Premier League,17.0,2005.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476,GBR,MF,Liverpool,Premier League,17.0,2005.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Alexis Claude-Maurice,477,FRA,FW,Nice,Ligue 1,24.0,1998.0,2.0,1.0,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.12,0.07,0.18,0.12,0.18,477,FRA,FW,Nice,Ligue 1,24.0,1998.0,0.7,0.0,2.0,0.0,0.0,2.81,0.0,0.0,,24.0,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1
Jonathan Clauss,479,FRA,DF,Marseille,Ligue 1,30.0,1992.0,13.0,13.0,1032.0,11.5,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.09,0.44,0.52,0.09,0.52,1.7,1.7,2.9,4.6,0.15,0.25,0.4,0.15,0.4,479,FRA,DF,Marseille,Ligue 1,30.0,1992.0,11.5,1.0,18.0,5.0,27.8,1.57,0.44,0.06,0.2,16.7,0.0,0.0,0.0,1.7,1.7,0.1,-0.7,-0.7
Carlos Clerc,480,ESP,DF,Elche,La Liga,30.0,1992.0,10.0,10.0,862.0,9.6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.1,0.5,0.5,0.4,0.8,0.05,0.04,0.09,0.05,0.09,480,ESP,DF,Elche,La Liga,30.0,1992.0,9.6,0.0,5.0,3.0,60.0,0.52,0.31,0.0,0.0,15.2,0.0,0.0,0.0,0.5,0.5,0.09,-0.5,-0.5
Nathaniel Clyne,481,GBR,DF,Crystal Palace,Premier League,31.0,1991.0,7.0,6.0,503.0,5.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.06,0.06,0.0,0.06,481,GBR,DF,Crystal Palace,Premier League,31.0,1991.0,5.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Conor Coady,482,GBR,DF,Everton,Premier League,29.0,1993.0,13.0,13.0,1160.0,12.9,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.08,0.08,0.16,0.08,0.16,0.6,0.6,0.3,0.9,0.05,0.02,0.07,0.05,0.07,482,GBR,DF,Everton,Premier League,29.0,1993.0,12.9,1.0,3.0,2.0,66.7,0.23,0.16,0.33,0.5,9.9,0.0,0.0,0.0,0.6,0.6,0.2,0.4,0.4
Marcus Coco,483,FRA,"DF,FW",Nantes,Ligue 1,26.0,1996.0,9.0,3.0,219.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,0.14,0.15,0.29,0.14,0.29,483,FRA,"DF,FW",Nantes,Ligue 1,26.0,1996.0,2.4,0.0,3.0,0.0,0.0,1.23,0.0,0.0,,16.3,0.0,0.0,0.0,0.3,0.3,0.11,-0.3,-0.3
Alexandre Coeff,484,FRA,DF,Auxerre,Ligue 1,30.0,1992.0,7.0,6.0,586.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,0.1,0.1,0.3,0.4,0.01,0.05,0.06,0.01,0.06,484,FRA,DF,Auxerre,Ligue 1,30.0,1992.0,6.5,0.0,1.0,0.0,0.0,0.15,0.0,0.0,,9.2,0.0,0.0,0.0,0.1,0.1,0.08,-0.1,-0.1
Jack Colback,485,GBR,MF,Nott'ham Forest,Premier League,33.0,1989.0,3.0,1.0,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.11,0.11,0.0,0.11,485,GBR,MF,Nott'ham Forest,Premier League,33.0,1989.0,1.4,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Séamus Coleman,486,IRL,DF,Everton,Premier League,34.0,1988.0,7.0,7.0,543.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,0.02,0.04,0.06,0.02,0.06,486,IRL,DF,Everton,Premier League,34.0,1988.0,6.0,0.0,2.0,0.0,0.0,0.33,0.0,0.0,,17.1,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1
Álex Collado,487,ESP,"MF,FW",Elche,La Liga,23.0,1999.0,8.0,8.0,514.0,5.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18,0.18,0.35,0.18,0.35,0.4,0.4,0.7,1.1,0.07,0.12,0.19,0.07,0.19,487,ESP,"MF,FW",Elche,La Liga,23.0,1999.0,5.7,1.0,11.0,5.0,45.5,1.93,0.88,0.09,0.2,21.0,0.0,0.0,0.0,0.4,0.4,0.04,0.6,0.6
Omar Colley,488,GMB,DF,Sampdoria,Serie A,30.0,1992.0,13.0,12.0,1125.0,12.5,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.08,0.0,0.08,0.08,0.08,1.1,1.1,0.0,1.1,0.09,0.0,0.09,0.09,0.09,488,GMB,DF,Sampdoria,Serie A,30.0,1992.0,12.5,1.0,4.0,2.0,50.0,0.32,0.16,0.25,0.5,7.3,0.0,0.0,0.0,1.1,1.1,0.28,-0.1,-0.1
Nathan Collins,489,IRL,DF,Wolves,Premier League,21.0,2001.0,11.0,11.0,932.0,10.4,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,489,IRL,DF,Wolves,Premier League,21.0,2001.0,10.4,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Lorenzo Colombo,490,ITA,FW,Lecce,Serie A,20.0,2002.0,12.0,4.0,389.0,4.3,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.46,0.23,0.69,0.46,0.69,1.8,1.0,0.3,1.3,0.42,0.07,0.49,0.23,0.31,490,ITA,FW,Lecce,Serie A,20.0,2002.0,4.3,2.0,11.0,4.0,36.4,2.54,0.93,0.18,0.5,17.4,0.0,0.0,1.0,1.8,1.0,0.09,0.2,1.0
Andrea Colpani,491,ITA,"MF,FW",Monza,Serie A,23.0,1999.0,8.0,1.0,202.0,2.2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.89,0.0,0.89,0.89,0.89,0.5,0.5,0.5,0.9,0.21,0.2,0.41,0.21,0.41,491,ITA,"MF,FW",Monza,Serie A,23.0,1999.0,2.2,2.0,7.0,3.0,42.9,3.12,1.34,0.29,0.67,18.5,0.0,0.0,0.0,0.5,0.5,0.07,1.5,1.5
Levi Colwill,492,GBR,"DF,MF",Brighton,Premier League,19.0,2003.0,2.0,0.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492,GBR,"DF,MF",Brighton,Premier League,19.0,2003.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Kingsley Coman,494,FRA,"FW,MF",Bayern Munich,Bundesliga,26.0,1996.0,8.0,4.0,448.0,5.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.2,0.6,0.8,0.2,0.8,1.1,1.1,1.4,2.6,0.23,0.29,0.51,0.23,0.51,494,FRA,"FW,MF",Bayern Munich,Bundesliga,26.0,1996.0,5.0,1.0,12.0,3.0,25.0,2.41,0.6,0.08,0.33,16.0,0.0,0.0,0.0,1.1,1.1,0.09,-0.1,-0.1
Eray Cömert,495,CHE,DF,Valencia,La Liga,24.0,1998.0,10.0,9.0,781.0,8.7,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.12,0.0,0.12,0.12,0.12,0.2,0.2,0.0,0.2,0.03,0.0,0.03,0.03,0.03,495,CHE,DF,Valencia,La Liga,24.0,1998.0,8.7,1.0,6.0,4.0,66.7,0.69,0.46,0.17,0.25,18.8,0.0,0.0,0.0,0.2,0.2,0.04,0.8,0.8
Santi Comesaña,496,ESP,MF,Rayo Vallecano,La Liga,26.0,1996.0,11.0,7.0,659.0,7.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.14,1.2,1.2,0.7,1.9,0.17,0.09,0.26,0.17,0.26,496,ESP,MF,Rayo Vallecano,La Liga,26.0,1996.0,7.3,1.0,11.0,2.0,18.2,1.5,0.27,0.09,0.5,15.6,0.0,0.0,0.0,1.2,1.2,0.13,-0.2,-0.2
Andrea Consigli,497,ITA,GK,Sassuolo,Serie A,35.0,1987.0,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497,ITA,GK,Sassuolo,Serie A,35.0,1987.0,14.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Abdu Conté,498,PRT,DF,Troyes,Ligue 1,24.0,1998.0,7.0,4.0,376.0,4.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.24,0.24,0.4,0.4,1.2,1.6,0.09,0.29,0.38,0.09,0.38,498,PRT,DF,Troyes,Ligue 1,24.0,1998.0,4.2,1.0,2.0,1.0,50.0,0.48,0.24,0.5,1.0,16.3,0.0,0.0,0.0,0.4,0.4,0.18,0.6,0.6
