,Player,Squad,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,Expected - xA,Expected - A-xAG,KP,1/3,PPA,CrsPA,PrgP
2033,Nicolas Seiwald,RB Leipzig,4.8,255,305,83.6,4431,1338,111,124,89.5,123,148,83.1,20,28,71.4,0,0.2,0.3,-0.2,3,26,7,0,41
2034,Matz Sels,Nott'ham Forest,13.0,182,348,52.3,6578,5615,32,32,100.0,59,60,98.3,91,252,36.1,0,0.0,0.1,0.0,0,16,1,0,1
2035,Nelson Semedo,Wolves,10.7,370,451,82.0,5760,1759,200,221,90.5,146,172,84.9,20,42,47.6,2,1.2,0.6,+0.8,8,25,5,2,26
2036,Antoine Semenyo,Bournemouth,11.7,255,356,71.6,3851,884,153,177,86.4,83,112,74.1,14,35,40.0,1,2.3,1.9,-1.3,14,20,11,2,27
2037,Marvin Senaya,Strasbourg,2.2,106,132,80.3,1815,572,44,47,93.6,52,64,81.3,7,13,53.8,0,0.1,0.0,-0.1,2,6,1,1,5
2038,Marcos Senesi,Bournemouth,10.2,440,578,76.1,9108,4764,163,187,87.2,204,237,86.1,71,144,49.3,0,0.4,0.5,-0.4,5,66,12,3,45
2039,Suat Serdar,Hellas Verona,5.8,155,198,78.3,2683,718,74,89,83.1,65,76,85.5,15,23,65.2,0,0.1,0.1,-0.1,3,20,2,0,23
2040,Sergi,Leganés,14.5,608,731,83.2,12136,4538,171,185,92.4,362,394,91.9,71,135,52.6,0,0.0,0.1,0.0,2,18,1,0,30
2041,Nicolas Serrano,Athletic Club,1.1,20,32,62.5,293,55,10,12,83.3,10,12,83.3,0,6,0.0,0,0.0,0.1,0.0,1,1,1,1,3
2042,Benjamin Sesko,RB Leipzig,8.8,144,217,66.4,1743,433,90,123,73.2,38,57,66.7,3,6,50.0,2,0.3,0.3,+1.7,4,7,4,0,17
2043,Ryan Sessegnon,Fulham,0.1,1,4,25.0,7,0,1,3,33.3,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2044,Stephan El Shaarawy,Roma,4.9,171,224,76.3,2602,669,88,106,83.0,76,96,79.2,3,9,33.3,1,0.3,0.6,+0.7,5,7,5,2,18
2045,Luke Shaw,Manchester Utd,0.8,89,101,88.1,1503,573,48,50,96.0,34,38,89.5,7,11,63.6,0,0.0,0.0,0.0,0,6,0,0,6
2046,Alen Sherri,Cagliari,3.0,72,92,78.3,1895,1326,12,12,100.0,37,37,100.0,22,42,52.4,0,0.0,0.0,0.0,0,0,0,0,0
2047,Eldor Shomurodov,Roma,1.3,27,36,75.0,374,57,16,17,94.1,8,10,80.0,1,1,100.0,1,0.1,0.3,+0.9,2,1,1,0,5
