,Squad,Comp,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Vs Dribbles - Tkl,Vs Dribbles - Att,Vs Dribbles - Tkl%,Vs Dribbles - Past,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
18,Burnley,Premier League,22.0,38.0,547.0,344.0,238.0,241.0,68.0,240.0,585.0,41.0,345.0,450.0,175.0,275.0,387.0,934.0,901.0,15.0
19,Cagliari,Serie A,33.0,38.0,560.0,338.0,300.0,203.0,57.0,231.0,619.0,37.3,388.0,445.0,174.0,271.0,337.0,897.0,855.0,13.0
20,Celta Vigo,La Liga,30.0,38.0,589.0,357.0,344.0,193.0,52.0,251.0,615.0,40.8,364.0,345.0,89.0,256.0,396.0,985.0,807.0,12.0
21,Chelsea,Premier League,27.0,38.0,638.0,362.0,304.0,258.0,76.0,246.0,604.0,40.7,358.0,361.0,91.0,270.0,459.0,1097.0,631.0,14.0
22,Crystal Palace,Premier League,25.0,38.0,686.0,390.0,367.0,244.0,75.0,316.0,711.0,44.4,395.0,399.0,135.0,264.0,444.0,1130.0,856.0,18.0
23,Dijon,Ligue 1,28.0,28.0,516.0,304.0,259.0,208.0,49.0,239.0,548.0,43.6,309.0,277.0,100.0,177.0,332.0,848.0,596.0,14.0
24,Dortmund,Bundesliga,27.0,34.0,529.0,329.0,249.0,214.0,66.0,226.0,509.0,44.4,283.0,353.0,88.0,265.0,375.0,904.0,463.0,10.0
25,Düsseldorf,Bundesliga,28.0,34.0,496.0,307.0,244.0,199.0,53.0,200.0,540.0,37.0,340.0,350.0,105.0,245.0,376.0,872.0,610.0,9.0
26,Eibar,La Liga,26.0,38.0,567.0,338.0,240.0,228.0,99.0,264.0,607.0,43.5,343.0,332.0,81.0,251.0,430.0,997.0,692.0,8.0
27,Eint Frankfurt,Bundesliga,27.0,34.0,596.0,377.0,278.0,246.0,72.0,232.0,617.0,37.6,385.0,403.0,97.0,306.0,376.0,972.0,520.0,5.0
28,Espanyol,La Liga,31.0,38.0,628.0,364.0,303.0,253.0,72.0,257.0,701.0,36.7,444.0,380.0,96.0,284.0,360.0,988.0,731.0,17.0
29,Everton,Premier League,24.0,38.0,671.0,408.0,328.0,262.0,81.0,282.0,672.0,42.0,390.0,372.0,111.0,261.0,408.0,1079.0,778.0,13.0
30,Fiorentina,Serie A,33.0,38.0,571.0,333.0,300.0,205.0,66.0,213.0,628.0,33.9,415.0,346.0,98.0,248.0,347.0,918.0,719.0,9.0
31,Freiburg,Bundesliga,26.0,34.0,431.0,253.0,226.0,162.0,43.0,175.0,497.0,35.2,322.0,401.0,157.0,244.0,354.0,785.0,810.0,18.0
