,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
95,Michael Langer,at AUT,GK,Schalke 04,Bundesliga,35.0,1985.0,3.0,2.0,239.0,2.7,12.0,4.52,24.0,13.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
96,Gautier Larsonneur,fr FRA,GK,Brest,Ligue 1,23.0,1997.0,35.0,35.0,3150.0,35.0,62.0,1.77,169.0,108.0,68.0,10.0,7.0,18.0,6.0,17.1,10.0,8.0,1.0,1.0,11.1
97,Jean-Louis Leca,fr FRA,GK,Lens,Ligue 1,34.0,1985.0,37.0,37.0,3313.0,36.8,51.0,1.39,136.0,88.0,69.9,15.0,12.0,10.0,8.0,21.6,10.0,10.0,0.0,0.0,0.0
98,Benjamin Lecomte,fr FRA,GK,Monaco,Ligue 1,29.0,1991.0,28.0,28.0,2520.0,28.0,27.0,0.96,68.0,42.0,64.7,18.0,5.0,5.0,13.0,46.4,3.0,3.0,0.0,0.0,0.0
99,Jeremías Ledesma,ar ARG,GK,Cádiz,La Liga,27.0,1993.0,32.0,32.0,2880.0,32.0,45.0,1.41,127.0,82.0,70.9,10.0,10.0,12.0,9.0,28.1,9.0,8.0,1.0,0.0,11.1
100,Bernd Leno,de GER,GK,Arsenal,Premier League,28.0,1992.0,35.0,35.0,3131.0,34.8,37.0,1.06,117.0,83.0,69.2,17.0,6.0,12.0,11.0,31.4,2.0,1.0,1.0,0.0,50.0
101,Karlo Letica,hr CRO,GK,Sampdoria,Serie A,23.0,1997.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
102,Hugo Lloris,fr FRA,GK,Tottenham,Premier League,33.0,1986.0,38.0,38.0,3420.0,38.0,45.0,1.18,155.0,113.0,77.4,18.0,8.0,12.0,12.0,31.6,10.0,10.0,0.0,0.0,0.0
104,Niklas Lomb,de GER,GK,Leverkusen,Bundesliga,27.0,1993.0,2.0,1.0,135.0,1.5,3.0,2.0,8.0,5.0,62.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
105,Anthony Lopes,pt POR,GK,Lyon,Ligue 1,29.0,1990.0,38.0,38.0,3420.0,38.0,43.0,1.13,134.0,92.0,71.6,22.0,10.0,6.0,11.0,28.9,7.0,5.0,1.0,1.0,16.7
106,Pau López,es ESP,GK,Roma,Serie A,25.0,1994.0,21.0,20.0,1817.0,20.2,29.0,1.44,85.0,59.0,69.4,10.0,4.0,6.0,4.0,20.0,3.0,3.0,0.0,0.0,0.0
107,Andreas Luthe,de GER,GK,Union Berlin,Bundesliga,33.0,1987.0,31.0,31.0,2768.0,30.8,42.0,1.37,132.0,89.0,71.2,11.0,12.0,8.0,5.0,16.1,5.0,4.0,1.0,0.0,20.0
108,Mike Maignan,fr FRA,GK,Lille,Ligue 1,25.0,1995.0,38.0,38.0,3420.0,38.0,23.0,0.61,107.0,85.0,79.4,24.0,11.0,3.0,21.0,55.3,2.0,1.0,1.0,0.0,50.0
109,Radosław Majecki,pl POL,GK,Monaco,Ligue 1,20.0,1999.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110,Steve Mandanda,fr FRA,GK,Marseille,Ligue 1,35.0,1985.0,37.0,37.0,3330.0,37.0,45.0,1.22,127.0,83.0,66.9,16.0,12.0,9.0,8.0,21.6,3.0,3.0,0.0,0.0,0.0
111,Niccolò Manfredini,it ITA,GK,Benevento,Serie A,32.0,1988.0,1.0,1.0,90.0,1.0,1.0,1.0,5.0,4.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
112,Vito Mannone,it ITA,GK,Monaco,Ligue 1,32.0,1988.0,9.0,9.0,810.0,9.0,14.0,1.56,33.0,19.0,63.6,5.0,1.0,3.0,2.0,22.2,2.0,2.0,0.0,0.0,0.0
113,Federico Marchetti,it ITA,GK,Genoa,Serie A,37.0,1983.0,4.0,4.0,334.0,3.7,11.0,2.96,18.0,7.0,38.9,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,
114,Emiliano Martínez,ar ARG,GK,Aston Villa,Premier League,27.0,1992.0,38.0,38.0,3420.0,38.0,46.0,1.21,186.0,133.0,78.0,16.0,7.0,15.0,15.0,39.5,6.0,5.0,1.0,0.0,16.7
115,Josep Martinez,es ESP,GK,RB Leipzig,Bundesliga,22.0,1998.0,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
116,Jordi Masip,es ESP,GK,Valladolid,La Liga,31.0,1989.0,25.0,25.0,2250.0,25.0,40.0,1.6,115.0,75.0,68.7,4.0,9.0,12.0,2.0,8.0,4.0,4.0,0.0,0.0,0.0
117,Alex McCarthy,eng ENG,GK,Southampton,Premier League,30.0,1989.0,30.0,30.0,2700.0,30.0,57.0,1.9,147.0,91.0,65.3,8.0,7.0,15.0,7.0,23.3,6.0,6.0,0.0,0.0,0.0
