,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
49,Lille,Ligue 1,32.0,27.1,51.1,38.0,418.0,3420.0,38.0,38.0,28.0,35.0,3.0,3.0,0.0,0.0,1.0,0.74,1.74,0.92,1.66
50,Liverpool,Premier League,34.0,25.2,57.2,38.0,418.0,3420.0,38.0,62.0,50.0,60.0,2.0,2.0,0.0,0.0,1.63,1.32,2.95,1.58,2.89
51,Lorient,Ligue 1,31.0,25.4,49.0,38.0,418.0,3420.0,38.0,46.0,30.0,39.0,7.0,7.0,0.0,0.0,1.21,0.79,2.0,1.03,1.82
52,Lyon,Ligue 1,30.0,25.5,61.3,38.0,418.0,3420.0,38.0,66.0,44.0,63.0,3.0,3.0,0.0,0.0,1.74,1.16,2.89,1.66,2.82
53,M'Gladbach,Bundesliga,26.0,24.9,56.0,34.0,374.0,3060.0,34.0,64.0,47.0,60.0,4.0,5.0,0.0,0.0,1.88,1.38,3.26,1.76,3.15
54,Mainz 05,Bundesliga,29.0,25.0,46.1,34.0,374.0,3060.0,34.0,46.0,31.0,45.0,1.0,1.0,0.0,0.0,1.35,0.91,2.26,1.32,2.24
55,Málaga,La Liga,30.0,28.0,48.8,38.0,418.0,3420.0,38.0,37.0,27.0,35.0,2.0,4.0,110.0,5.0,0.97,0.71,1.68,0.92,1.63
56,Manchester City,Premier League,25.0,28.3,56.9,38.0,418.0,3420.0,38.0,71.0,53.0,66.0,5.0,8.0,0.0,0.0,1.87,1.39,3.26,1.74,3.13
57,Manchester Utd,Premier League,33.0,25.6,58.5,38.0,418.0,3420.0,38.0,46.0,31.0,43.0,3.0,3.0,0.0,0.0,1.21,0.82,2.03,1.13,1.95
58,Marseille,Ligue 1,28.0,25.0,56.6,38.0,418.0,3420.0,38.0,48.0,35.0,46.0,2.0,4.0,0.0,0.0,1.26,0.92,2.18,1.21,2.13
59,Milan,Serie A,30.0,26.4,52.9,38.0,418.0,3420.0,38.0,49.0,28.0,43.0,6.0,7.0,0.0,0.0,1.29,0.74,2.03,1.13,1.87
