,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
88,Udinese,Serie A,25.0,26.5,44.7,38.0,418.0,3420.0,38.0,37.0,26.0,37.0,0.0,0.0,77.0,3.0,0.97,0.68,1.66,0.97,1.66,41.6,41.6,33.5,75.2,1.1,0.88,1.98,1.1,1.98
89,Union Berlin,Bundesliga,26.0,27.7,41.9,34.0,374.0,3060.0,34.0,38.0,27.0,34.0,4.0,5.0,71.0,5.0,1.12,0.79,1.91,1.0,1.79,41.4,37.6,28.0,65.7,1.22,0.82,2.04,1.11,1.93
90,Valencia,La Liga,28.0,27.0,49.0,38.0,418.0,3420.0,38.0,45.0,34.0,40.0,5.0,8.0,80.0,8.0,1.18,0.89,2.08,1.05,1.95,43.3,37.2,31.7,68.9,1.14,0.83,1.97,0.98,1.81
91,Valladolid,La Liga,30.0,27.1,44.7,38.0,418.0,3420.0,38.0,31.0,19.0,28.0,3.0,6.0,84.0,0.0,0.82,0.5,1.32,0.74,1.24,36.5,32.1,24.0,56.1,0.96,0.63,1.59,0.84,1.48
92,Villarreal,La Liga,25.0,27.6,52.9,38.0,418.0,3420.0,38.0,62.0,40.0,52.0,10.0,11.0,78.0,1.0,1.63,1.05,2.68,1.37,2.42,63.6,55.2,43.1,98.3,1.67,1.13,2.81,1.45,2.59
93,Watford,Premier League,26.0,28.9,42.9,38.0,418.0,3420.0,38.0,35.0,21.0,28.0,7.0,8.0,80.0,3.0,0.92,0.55,1.47,0.74,1.29,48.9,42.6,31.4,74.0,1.29,0.83,2.11,1.12,1.95
94,Werder Bremen,Bundesliga,30.0,26.7,48.8,34.0,374.0,3060.0,34.0,40.0,30.0,37.0,3.0,6.0,80.0,4.0,1.18,0.88,2.06,1.09,1.97,39.4,34.7,25.8,60.5,1.16,0.76,1.92,1.02,1.78
95,West Ham,Premier League,29.0,27.4,44.1,38.0,418.0,3420.0,38.0,49.0,36.0,45.0,4.0,4.0,64.0,1.0,1.29,0.95,2.24,1.18,2.13,48.6,45.4,36.7,82.1,1.28,0.97,2.24,1.2,2.16
96,Wolfsburg,Bundesliga,26.0,26.0,48.4,34.0,374.0,3060.0,34.0,48.0,33.0,44.0,4.0,4.0,71.0,4.0,1.41,0.97,2.38,1.29,2.26,52.8,49.7,37.9,87.6,1.55,1.11,2.67,1.46,2.58
97,Wolves,Premier League,21.0,26.6,48.3,38.0,418.0,3420.0,38.0,49.0,34.0,45.0,4.0,4.0,61.0,2.0,1.29,0.89,2.18,1.18,2.08,54.1,51.0,37.5,88.5,1.42,0.99,2.41,1.34,2.33
