,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG
1755,Michel,br BRA,DF,Almería,La Liga,24.0,1990.0,13.4,3.0,2.0,,12.0,,,,,,,,
1756,Michu,es ESP,"FW,MF",Napoli,Serie A,28.0,1986.0,1.6,1.0,0.0,,2.0,,,,,,,,
1757,Giulio Migliaccio,it ITA,"DF,MF",Atalanta,Serie A,33.0,1981.0,12.9,8.0,0.0,,37.0,,,,,,,,
1758,Simon Mignolet,be BEL,GK,Liverpool,Premier League,26.0,1988.0,35.8,0.0,0.0,,0.0,,,,,,,,
1759,Miku,ve VEN,FW,Rayo Vallecano,La Liga,28.0,1985.0,2.5,0.0,0.0,,8.0,,,,,,,,
1760,Guido Milán,ar ARG,DF,Metz,Ligue 1,27.0,1987.0,21.4,5.0,2.0,,32.0,,,,,,,,
1761,James Milner,eng ENG,"DF,MF",Manchester City,Premier League,28.0,1986.0,19.4,6.0,0.0,,28.0,,,,,,,,
1762,Santi Mina,es ESP,FW,Celta Vigo,La Liga,18.0,1995.0,12.8,6.0,0.0,,25.0,,,,,,,,
1763,Abraham Minero,es ESP,"DF,MF",Eibar,La Liga,28.0,1986.0,14.7,6.0,0.0,,21.0,,,,,,,,
1764,Kevin Mirallas,be BEL,"FW,MF",Everton,Premier League,26.0,1987.0,15.8,3.0,0.0,,15.0,,,,,,,,
1765,Miranda,br BRA,DF,Atlético Madrid,La Liga,29.0,1984.0,22.5,8.0,1.0,,23.0,,,,,,,,
1766,Antonio Mirante,it ITA,GK,Parma,Serie A,31.0,1983.0,32.5,4.0,1.0,,0.0,,,,,,,,
1768,Simone Missiroli,it ITA,MF,Sassuolo,Serie A,28.0,1986.0,29.4,5.0,1.0,,39.0,,,,,,,,
1769,Stefan Mitrović,rs SRB,DF,Freiburg,Bundesliga,24.0,1990.0,12.6,2.0,1.0,,13.0,,,,,,,,
1770,Henrikh Mkhitaryan,am ARM,MF,Dortmund,Bundesliga,25.0,1989.0,21.3,4.0,0.0,,24.0,,,,,,,,
1771,Anthony Modeste,fr FRA,FW,Hoffenheim,Bundesliga,26.0,1988.0,14.4,2.0,0.0,,21.0,,,,,,,,
1772,François Modesto,fr FRA,"DF,MF",Bastia,Ligue 1,35.0,1978.0,25.6,3.0,0.0,,18.0,,,,,,,,
1773,Luka Modrić,hr CRO,MF,Real Madrid,La Liga,28.0,1985.0,14.3,4.0,0.0,,16.0,,,,,,,,
1774,Benjamin Mokulu,cd COD,FW,Bastia,Ligue 1,24.0,1989.0,0.8,0.0,0.0,,0.0,,,,,,,,
1775,Sascha Mölders,de GER,FW,Augsburg,Bundesliga,29.0,1985.0,3.9,1.0,0.0,,15.0,,,,,,,,
1776,Salvatore Molina,it ITA,MF,Atalanta,Serie A,22.0,1992.0,2.0,1.0,0.0,,1.0,,,,,,,,
1777,Cristian Molinaro,it ITA,"DF,MF",Torino,Serie A,31.0,1983.0,15.2,1.0,1.0,,26.0,,,,,,,,
