,Player,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
2151,Emiliano Rigoni,5.8,1,0,0,5,5,5,47,3,1,0,0,0,24,3,8,27.3
2152,Luca Rigoni,19.6,5,0,0,24,18,0,7,18,25,0,0,0,109,19,31,38.0
2153,Nicola Rigoni,21.7,9,1,1,47,18,1,9,23,25,0,0,0,133,45,36,55.6
2154,Kevin Rimane,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
2155,Tomas Rincon,31.1,15,0,0,69,40,0,31,42,44,0,0,0,224,80,50,61.5
2156,Renaud Ripart,33.4,2,0,0,37,69,7,77,27,49,0,0,0,150,95,140,40.4
2158,Mihailo Ristic,3.6,0,0,0,3,5,0,12,9,9,0,0,0,17,4,5,44.4
2159,Matt Ritchie,32.5,9,0,0,55,38,1,259,51,44,0,0,0,171,32,65,33.0
2160,Cristian Rivera,18.8,2,0,0,18,11,1,9,31,25,0,0,0,136,23,34,40.4
2161,Arjen Robben,6.3,1,1,1,5,5,5,22,3,1,0,0,0,24,6,4,60.0
2162,Rober,31.7,6,0,0,28,13,1,1,51,29,0,1,1,191,60,66,47.6
2163,Sergi Roberto,23.2,3,0,0,18,33,0,27,43,20,0,1,0,102,28,28,50.0
2164,Patrick Roberts,6.7,0,0,0,0,9,2,8,3,6,0,0,0,23,1,4,20.0
2165,Andrew Robertson,35.7,4,0,0,18,16,1,135,29,49,0,0,0,223,24,28,46.2
2166,Joel Robles,5.0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,100.0
2167,Marc Roca,34.6,9,0,0,60,27,0,5,36,45,0,0,0,236,43,40,51.8
2170,Ruben Rochina,20.0,13,2,2,49,53,1,85,21,33,0,0,0,130,24,20,54.5
2171,Sebastian Rode,10.3,4,0,0,16,10,0,27,19,19,0,0,0,71,16,15,51.6
2172,Ronny Rodelin,8.8,0,0,0,10,9,3,8,8,5,0,0,0,28,47,28,62.7
