,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off
60,Alexis Alegue,fr FRA,MF,Nantes,Ligue 1,18.0,1996.0,3.0,97.0,32.0,2.8,1.1,1.0,,0.0,2.0,,2.0,1.0,2.0,2.0,0.0,0.0,0.3
61,Nauzet Alemán,es ESP,MF,Las Palmas,La Liga,30.0,1985.0,10.0,248.0,25.0,7.3,2.8,2.0,66.0,0.0,8.0,15.0,9.0,0.9,2.0,4.0,-2.0,-0.73,-0.56
62,Diego Alende,es ESP,DF,Celta Vigo,La Liga,17.0,1997.0,1.0,40.0,40.0,1.2,0.4,0.0,,0.0,1.0,40.0,5.0,1.0,0.0,1.0,-1.0,-2.25,-2.06
63,Romain Alessandrini,fr FRA,"MF,FW",Marseille,Ligue 1,26.0,1989.0,22.0,1246.0,57.0,36.4,13.8,16.0,,4.0,6.0,,2.0,1.41,24.0,17.0,7.0,0.51,0.55
64,Alex,br BRA,DF,Milan,Serie A,33.0,1982.0,25.0,2091.0,84.0,61.1,23.2,24.0,,21.0,1.0,,8.0,1.68,30.0,23.0,7.0,0.3,0.37
65,Edgar Alexandre,fr FRA,MF,Bastia,Ligue 1,18.0,1996.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
66,Alexis,es ESP,DF,Getafe,La Liga,29.0,1985.0,15.0,1350.0,90.0,39.5,15.0,15.0,90.0,15.0,0.0,,0.0,1.0,17.0,25.0,-8.0,-0.53,0.42
67,Chaker Alhadhur,km COM,DF,Caen,Ligue 1,23.0,1991.0,10.0,787.0,79.0,23.0,8.7,8.0,,7.0,2.0,,16.0,1.2,9.0,14.0,-5.0,-0.57,-0.3
68,Felipe Aliste Lopes,br BRA,DF,Wolfsburg,Bundesliga,27.0,1987.0,0.0,,,,,0.0,,0.0,0.0,,3.0,,,,,,
69,Allan,br BRA,MF,Napoli,Serie A,24.0,1991.0,35.0,2818.0,81.0,82.4,31.3,32.0,,23.0,3.0,,2.0,2.17,66.0,26.0,40.0,1.28,0.08
70,Joe Allen,wls WAL,MF,Liverpool,Premier League,25.0,1990.0,19.0,735.0,39.0,21.5,8.2,8.0,,3.0,11.0,,10.0,1.53,16.0,10.0,6.0,0.73,0.5
71,Dele Alli,eng ENG,MF,Tottenham,Premier League,19.0,1996.0,33.0,2470.0,75.0,72.2,27.4,28.0,,11.0,5.0,,1.0,2.03,56.0,21.0,35.0,1.28,1.37
72,Ryan Allsop,eng ENG,GK,Bournemouth,Premier League,23.0,1992.0,1.0,45.0,45.0,1.3,0.5,0.0,,0.0,1.0,,3.0,1.0,3.0,1.0,2.0,4.0,4.64
73,Hugo Almeida,pt POR,FW,Hannover 96,Bundesliga,31.0,1984.0,7.0,530.0,76.0,17.3,5.9,5.0,,5.0,2.0,,0.0,0.0,1.0,11.0,-10.0,-1.7,-0.95
74,Baptiste Aloé,fr FRA,DF,Marseille,Ligue 1,21.0,1994.0,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,
75,Marcos Alonso,es ESP,"MF,DF",Fiorentina,Serie A,24.0,1990.0,31.0,2347.0,76.0,68.6,26.1,26.0,,22.0,5.0,,0.0,1.55,37.0,30.0,7.0,0.27,-0.65
76,Xabi Alonso,es ESP,"MF,DF",Bayern Munich,Bundesliga,33.0,1981.0,26.0,1945.0,75.0,63.6,21.6,23.0,,15.0,3.0,,3.0,2.65,49.0,10.0,39.0,1.8,-0.13
78,Batuhan Altıntaş,tr TUR,FW,Hamburger SV,Bundesliga,19.0,1996.0,1.0,27.0,27.0,0.9,0.3,0.0,,0.0,1.0,,2.0,3.0,1.0,0.0,1.0,3.33,3.54
79,Halil Altıntop,tr TUR,MF,Augsburg,Bundesliga,32.0,1982.0,19.0,1200.0,63.0,39.2,13.3,15.0,,5.0,4.0,,13.0,1.11,16.0,17.0,-1.0,-0.07,0.36
80,Ricky Álvarez,ar ARG,"MF,FW",Sampdoria,Serie A,27.0,1988.0,13.0,806.0,62.0,23.6,9.0,9.0,,3.0,4.0,,2.0,0.69,9.0,15.0,-6.0,-0.67,-0.43
81,Sergio Álvarez,es ESP,MF,Sporting Gijón,La Liga,23.0,1992.0,27.0,2185.0,81.0,63.9,24.3,26.0,83.0,20.0,1.0,27.0,1.0,1.33,28.0,29.0,-1.0,-0.04,1.49
82,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,28.0,1986.0,31.0,2726.0,88.0,79.7,30.3,30.0,90.0,30.0,1.0,26.0,6.0,1.42,41.0,47.0,-6.0,-0.2,0.06
83,Víctor Álvarez,es ESP,"MF,DF",Espanyol,La Liga,22.0,1993.0,27.0,1959.0,73.0,57.3,21.8,25.0,77.0,12.0,2.0,18.0,10.0,1.04,19.0,46.0,-27.0,-1.24,-0.81
84,Dani Alves,br BRA,DF,Barcelona,La Liga,32.0,1983.0,29.0,2145.0,74.0,62.7,23.8,24.0,82.0,17.0,5.0,34.0,6.0,2.31,68.0,17.0,51.0,2.14,-0.12
85,Diego Alves,br BRA,GK,Valencia,La Liga,30.0,1985.0,13.0,1170.0,90.0,34.2,13.0,13.0,90.0,13.0,0.0,,0.0,1.46,20.0,21.0,-1.0,-0.08,-0.04
86,Ibrahim Amadou,fr FRA,"MF,DF",Lille,Ligue 1,22.0,1993.0,22.0,1668.0,76.0,48.8,18.5,18.0,,17.0,4.0,,9.0,1.95,23.0,10.0,13.0,0.7,0.75
87,Morgan Amalfitano,fr FRA,"FW,MF",Lille,Ligue 1,30.0,1985.0,15.0,957.0,64.0,28.0,10.6,10.0,,6.0,5.0,,2.0,2.07,18.0,8.0,10.0,0.94,0.87
88,Daniel Amartey,gh GHA,DF,Leicester City,Premier League,20.0,1994.0,5.0,104.0,21.0,3.0,1.2,1.0,,0.0,4.0,,7.0,2.6,2.0,2.0,0.0,0.0,-0.87
89,Jordi Amat,id IDN,DF,Swansea City,Premier League,23.0,1992.0,8.0,463.0,58.0,13.5,5.1,5.0,,4.0,3.0,,14.0,2.25,10.0,5.0,5.0,0.97,1.43
90,Amath,sn SEN,"FW,MF",Atlético Madrid,La Liga,19.0,1996.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
91,Amauri,it ITA,FW,Torino,Serie A,35.0,1980.0,1.0,9.0,9.0,0.3,0.1,0.0,,0.0,1.0,,13.0,0.0,0.0,0.0,0.0,0.0,0.08
92,Jordan Amavi,fr FRA,DF,Aston Villa,Premier League,21.0,1994.0,10.0,837.0,84.0,24.5,9.3,9.0,,9.0,1.0,,2.0,0.5,8.0,13.0,-5.0,-0.54,1.0
93,Antonio Amaya,es ESP,DF,Rayo Vallecano,La Liga,32.0,1983.0,17.0,1033.0,61.0,30.2,11.5,10.0,82.0,7.0,7.0,30.0,7.0,1.06,16.0,30.0,-14.0,-1.22,-0.96
