,Squad,Comp,# Pl,Poss,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Dribbles - Succ,Dribbles - Att,Dribbles - Succ%,Dribbles - Mis,Dribbles - Dis,Receiving - Rec,Receiving - Prog
33,Getafe,La Liga,30.0,45.0,38.0,17624.0,1489.0,4852.0,7859.0,5146.0,643.0,17617.0,274.0,476.0,57.6,635.0,318.0,8143.0,860.0
34,Granada,La Liga,27.0,43.8,38.0,17947.0,2233.0,6288.0,7585.0,4309.0,576.0,17942.0,300.0,553.0,54.2,486.0,290.0,9645.0,705.0
35,Hellas Verona,Serie A,30.0,49.8,38.0,21572.0,2379.0,6438.0,10308.0,5055.0,740.0,21563.0,328.0,546.0,60.1,536.0,307.0,13177.0,1109.0
36,Hertha BSC,Bundesliga,32.0,44.7,34.0,18804.0,2251.0,6615.0,8962.0,3448.0,518.0,18801.0,351.0,526.0,66.7,519.0,348.0,11210.0,806.0
37,Hoffenheim,Bundesliga,31.0,51.6,34.0,21795.0,2508.0,8101.0,9872.0,4023.0,703.0,21791.0,299.0,512.0,58.4,478.0,324.0,14225.0,958.0
38,Inter,Serie A,29.0,54.2,38.0,24650.0,2448.0,7454.0,11417.0,6002.0,1011.0,24639.0,311.0,498.0,62.4,515.0,292.0,17044.0,1351.0
39,Juventus,Serie A,30.0,58.1,38.0,27332.0,2030.0,6576.0,13479.0,7510.0,855.0,27318.0,434.0,689.0,63.0,510.0,293.0,19999.0,1270.0
40,Köln,Bundesliga,29.0,46.7,34.0,18990.0,2175.0,6641.0,8591.0,3959.0,618.0,18986.0,272.0,450.0,60.4,570.0,299.0,11037.0,874.0
41,Lazio,Serie A,27.0,50.4,38.0,23214.0,2363.0,7009.0,10453.0,6006.0,932.0,23196.0,360.0,580.0,62.1,503.0,270.0,15674.0,1229.0
42,Lecce,Serie A,30.0,44.8,38.0,21027.0,2786.0,7578.0,9038.0,4637.0,715.0,21013.0,296.0,464.0,63.8,481.0,318.0,13502.0,978.0
43,Leganés,La Liga,29.0,43.9,38.0,18714.0,1774.0,5796.0,8420.0,4725.0,630.0,18709.0,342.0,581.0,58.9,544.0,291.0,10194.0,808.0
44,Leicester City,Premier League,24.0,57.1,38.0,26145.0,2196.0,7811.0,12196.0,6353.0,919.0,26138.0,377.0,688.0,54.8,602.0,328.0,17423.0,1164.0
45,Levante,La Liga,29.0,48.3,38.0,20099.0,2488.0,7635.0,8264.0,4391.0,625.0,20094.0,386.0,637.0,60.6,537.0,302.0,12232.0,983.0
46,Leverkusen,Bundesliga,24.0,63.2,34.0,26731.0,2253.0,7683.0,14006.0,5273.0,833.0,26729.0,450.0,710.0,63.4,600.0,360.0,18860.0,1105.0
47,Lille,Ligue 1,25.0,52.9,28.0,17201.0,1261.0,4068.0,9235.0,4074.0,544.0,17193.0,307.0,522.0,58.8,442.0,300.0,11127.0,792.0
48,Liverpool,Premier League,24.0,62.9,38.0,29602.0,2083.0,7175.0,14848.0,7811.0,1181.0,29597.0,387.0,658.0,58.8,607.0,306.0,21083.0,1404.0
