,Squad,Comp,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
82,Southampton,Premier League,2.0,38.0,38.0,3420.0,38.0,60.0,1.58,168.0,108.0,66.1,15.0,7.0,16.0,9.0,23.7,4.0,3.0,1.0,0.0,25.0
83,SPAL,Serie A,3.0,38.0,38.0,3420.0,38.0,77.0,2.03,228.0,153.0,69.3,5.0,5.0,28.0,3.0,7.9,8.0,7.0,1.0,0.0,12.5
84,Strasbourg,Ligue 1,1.0,27.0,27.0,2430.0,27.0,32.0,1.19,104.0,71.0,75.0,11.0,5.0,11.0,8.0,29.6,7.0,6.0,1.0,0.0,14.3
85,Torino,Serie A,3.0,38.0,38.0,3420.0,38.0,68.0,1.79,208.0,142.0,72.1,11.0,7.0,20.0,7.0,18.4,11.0,10.0,1.0,0.0,9.1
86,Tottenham,Premier League,2.0,38.0,38.0,3420.0,38.0,47.0,1.24,181.0,134.0,76.8,16.0,11.0,10.0,8.0,21.1,7.0,5.0,2.0,0.0,28.6
87,Toulouse,Ligue 1,3.0,28.0,28.0,2520.0,28.0,58.0,2.07,146.0,87.0,62.3,3.0,4.0,20.0,3.0,10.7,5.0,3.0,2.0,0.0,40.0
88,Udinese,Serie A,1.0,38.0,38.0,3420.0,38.0,51.0,1.34,194.0,141.0,77.8,12.0,9.0,17.0,14.0,36.8,10.0,8.0,2.0,0.0,20.0
89,Union Berlin,Bundesliga,2.0,34.0,34.0,3060.0,34.0,58.0,1.71,167.0,109.0,67.1,12.0,5.0,17.0,8.0,23.5,4.0,3.0,1.0,0.0,25.0
90,Valencia,La Liga,2.0,38.0,38.0,3420.0,38.0,53.0,1.39,190.0,136.0,75.8,13.0,11.0,13.0,8.0,21.1,9.0,7.0,2.0,0.0,22.2
91,Valladolid,La Liga,3.0,38.0,38.0,3420.0,38.0,43.0,1.13,139.0,95.0,74.1,9.0,15.0,13.0,12.0,31.6,8.0,7.0,1.0,0.0,12.5
92,Villarreal,La Liga,2.0,38.0,38.0,3420.0,38.0,49.0,1.29,164.0,116.0,75.0,18.0,6.0,14.0,12.0,31.6,9.0,8.0,1.0,0.0,11.1
93,Watford,Premier League,1.0,38.0,38.0,3420.0,38.0,64.0,1.68,178.0,116.0,68.5,8.0,10.0,20.0,9.0,23.7,9.0,8.0,1.0,0.0,11.1
94,Werder Bremen,Bundesliga,2.0,34.0,34.0,3060.0,34.0,69.0,2.03,174.0,108.0,60.9,8.0,7.0,19.0,4.0,11.8,1.0,1.0,0.0,0.0,0.0
95,West Ham,Premier League,4.0,38.0,38.0,3420.0,38.0,62.0,1.63,187.0,127.0,69.5,10.0,8.0,18.0,7.0,18.4,6.0,5.0,1.0,0.0,16.7
96,Wolfsburg,Bundesliga,2.0,34.0,34.0,3060.0,34.0,46.0,1.35,142.0,97.0,71.1,13.0,10.0,11.0,8.0,23.5,5.0,5.0,0.0,0.0,0.0
97,Wolves,Premier League,1.0,38.0,38.0,3420.0,38.0,40.0,1.05,129.0,88.0,69.8,15.0,14.0,9.0,13.0,34.2,3.0,1.0,2.0,0.0,66.7
