,Player,Squad,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
465,Guela Doue,Strasbourg,2.0,155,135,20,6,0,1,1,11,0,0,0,0,128,0,0
466,Douglas,Nantes,2.0,81,77,4,3,0,0,2,0,0,0,0,0,71,0,1
468,Ismael Doukoure,Strasbourg,1.7,89,86,3,2,0,0,0,1,0,0,0,0,73,0,3
469,Issa Doumbia,Venezia,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,Anastasios Douvikas,Celta Vigo,1.8,27,22,5,0,0,0,1,0,0,0,0,0,19,0,2
471,Artem Dovbyk,Roma,2.0,29,26,2,0,0,0,0,0,0,0,0,0,24,1,0
472,Flynn Downes,Southampton,2.0,146,138,8,8,0,0,1,0,0,0,0,0,135,0,1
473,Tommy Doyle,Wolves,0.0,9,8,1,1,0,0,0,0,0,0,0,0,9,0,0
474,Patrick Drewes,Bochum,1.0,38,21,17,6,0,0,0,0,0,0,0,0,23,0,0
475,Tim Drexler,Hoffenheim,1.0,54,53,1,1,1,1,0,0,0,0,0,0,48,0,0
476,Marvin Ducksch,Werder Bremen,0.9,20,18,2,0,0,3,2,0,2,1,1,0,12,0,0
477,Ondrej Duda,Hellas Verona,1.9,96,87,9,5,1,3,7,0,3,0,3,0,75,0,2
478,Denzel Dumfries,Inter,0.5,25,21,4,0,0,0,3,4,0,0,0,0,19,0,1
479,Alfred Duncan,Venezia,2.0,61,55,6,3,1,1,3,0,2,0,1,0,49,0,1
480,Lewis Dunk,Brighton,1.8,149,124,25,8,0,1,0,2,0,0,0,0,136,0,0
481,Jhon Duran,Aston Villa,0.6,21,20,0,0,1,0,0,0,0,0,0,0,15,1,0
482,Pablo Duran,Celta Vigo,0.0,6,6,0,0,0,0,0,0,0,0,0,0,4,0,1
