,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
29,Ayman Aiki,FR,MF,Saint-Étienne,Ligue 1,19,2005,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,Ola Aina,NG,DF,Nott'ham Forest,Premier League,27,1996,2,2,143,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,5,9,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04
31,Rayan Ait-Nouri,DZ,DF,Wolves,Premier League,23,2001,2,2,149,1.7,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.5,1,9,3,0.00,0.60,0.60,0.00,0.60,0.05,0.27,0.32,0.05,0.32
32,Kristoffer Ajer,NO,DF,Brentford,Premier League,26,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,3,7,3,0.00,0.00,0.00,0.00,0.00,0.14,0.01,0.15,0.14,0.15
33,Ludovic Ajorque,FR,FW,Brest,Ligue 1,30,1994,2,2,141,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,8,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
34,Manuel Akanji,CH,DF,Manchester City,Premier League,29,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,17,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
35,Ilias Akhomach,MA,MF,Villarreal,La Liga,20,2004,2,1,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,14,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
36,Sergio Akieme,ES,DF,Reims,Ligue 1,26,1997,2,2,180,2.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,8,4,6,0.50,0.00,0.50,0.50,0.50,0.05,0.00,0.05,0.05,0.05
37,Maghnes Akliouche,FR,FW,Monaco,Ligue 1,22,2002,2,1,112,1.2,0,1,1,0,0,0,0,0,0.4,0.4,0.5,1.0,8,6,13,0.00,0.80,0.80,0.00,0.80,0.34,0.43,0.77,0.34,0.77
38,Clement Akpa,CI,DF,Auxerre,Ligue 1,22,2001,1,1,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
