,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
214,Marc Baró,es ESP,DF,Cádiz,La Liga,20.0,1999.0,1.0,11.0,19.0,57.9,224.0,156.0,5.0,6.0,83.3,3.0,6.0,50.0,3.0,6.0,50.0,0.0,0.1,0.2,-0.1,2.0,0.0,0.0,0.0,0.0
215,Antonio Barragán,es ESP,DF,Elche,La Liga,33.0,1987.0,24.8,1091.0,1326.0,82.3,18850.0,7126.0,522.0,562.0,92.9,422.0,508.0,83.1,117.0,190.0,61.6,3.0,0.7,0.8,2.3,10.0,67.0,14.0,9.0,69.0
216,Antonio Barreca,it ITA,DF,Fiorentina,Serie A,25.0,1995.0,0.9,32.0,51.0,62.7,480.0,157.0,17.0,19.0,89.5,12.0,20.0,60.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,6.0
217,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,Bundesliga,20.0,2000.0,25.6,449.0,702.0,64.0,6871.0,2878.0,225.0,316.0,71.2,178.0,236.0,75.4,27.0,74.0,36.5,2.0,2.7,2.1,-0.7,18.0,46.0,9.0,2.0,76.0
218,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,La Liga,18.0,2001.0,14.5,291.0,413.0,70.5,4473.0,1038.0,152.0,188.0,80.9,113.0,150.0,75.3,14.0,33.0,42.4,0.0,1.9,1.2,-1.9,15.0,24.0,15.0,4.0,37.0
219,Jacob Barrett Laursen,dk DEN,DF,Arminia,Bundesliga,25.0,1994.0,12.3,434.0,557.0,77.9,7682.0,2833.0,194.0,231.0,84.0,187.0,231.0,81.0,43.0,68.0,63.2,1.0,1.1,1.1,-0.1,4.0,34.0,6.0,3.0,30.0
220,Musa Barrow,gm GAM,"FW,MF",Bologna,Serie A,21.0,1998.0,32.5,818.0,1165.0,70.2,13878.0,3584.0,433.0,530.0,81.7,247.0,331.0,74.6,103.0,213.0,48.4,8.0,6.0,4.1,2.0,60.0,83.0,31.0,12.0,103.0
221,Kyle Bartley,eng ENG,DF,West Brom,Premier League,29.0,1991.0,28.7,647.0,842.0,76.8,12274.0,4688.0,223.0,266.0,83.8,345.0,412.0,83.7,64.0,131.0,48.9,1.0,1.4,0.9,-0.4,7.0,47.0,4.0,0.0,44.0
222,Paolo Bartolomei,it ITA,MF,Spezia,Serie A,30.0,1989.0,3.6,91.0,124.0,73.4,1413.0,332.0,47.0,53.0,88.7,36.0,44.0,81.8,5.0,19.0,26.3,1.0,0.3,0.6,0.7,5.0,9.0,2.0,1.0,10.0
223,Marc Bartra,es ESP,DF,Betis,La Liga,29.0,1991.0,18.8,776.0,971.0,79.9,15090.0,4832.0,263.0,303.0,86.8,425.0,479.0,88.7,78.0,164.0,47.6,1.0,1.0,0.9,0.0,3.0,30.0,2.0,0.0,31.0
224,Daniele Baselli,it ITA,MF,Torino,Serie A,28.0,1992.0,4.4,163.0,217.0,75.1,2989.0,1031.0,78.0,94.0,83.0,51.0,68.0,75.0,29.0,39.0,74.4,0.0,0.7,0.5,-0.7,9.0,21.0,3.0,0.0,25.0
