,Player,Squad,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
2011,Giorgio Scalvini,Atalanta,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2012,Kevin Schade,Brentford,6.4,12,1.87,5,0,2,2,2,1,2,0.31,1,0,0,1,0,0
2013,Andras Schafer,Union Berlin,5.1,6,1.18,4,0,0,1,1,0,1,0.20,1,0,0,0,0,0
2014,Fabian Schar,Newcastle Utd,10.3,7,0.68,5,0,0,0,1,1,0,0.00,0,0,0,0,0,0
2015,Patrik Schick,Leverkusen,4.4,10,2.24,7,0,0,0,3,0,0,0.00,0,0,0,0,0,0
2016,Stefan Schimmer,Heidenheim,1.3,2,1.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2017,Joel Schingtienne,Venezia,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2018,Xaver Schlager,RB Leipzig,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2019,Keven Schlotterbeck,Augsburg,9.4,17,1.81,13,0,1,2,0,1,2,0.21,2,0,0,0,0,0
2020,Nico Schlotterbeck,Dortmund,10.8,23,2.13,19,1,0,1,1,1,1,0.09,1,0,0,0,0,0
2021,Jeffrey Schlupp,Crystal Palace,1.0,6,5.81,4,0,1,1,0,0,0,0.00,0,0,0,0,0,0
2022,Romano Schmid,Werder Bremen,11.8,49,4.16,40,1,2,4,1,1,6,0.51,6,0,0,0,0,0
2023,Niklas Schmidt,Toulouse,1.9,11,5.79,5,4,0,2,0,0,0,0.00,0,0,0,0,0,0
2024,Jan Schoppner,Heidenheim,11.2,22,1.96,17,0,1,4,0,0,2,0.18,1,0,0,1,0,0
2025,Marvin Schulz,Holstein Kiel,1.6,5,3.17,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0
2026,Leo Scienza,Heidenheim,7.5,44,5.83,17,11,7,2,7,0,2,0.27,1,1,0,0,0,0
2028,Alex Scott,Bournemouth,2.9,11,3.75,8,0,0,0,1,2,0,0.00,0,0,0,0,0,0
2029,Simone Scuffet,Cagliari,11.0,1,0.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2030,Jeremy Sebas,Strasbourg,0.8,3,3.65,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
2031,Aleksandar Sedlar,Alavés,4.6,1,0.22,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2032,Alidu Seidu,Rennes,8.9,12,1.34,8,2,1,0,1,0,0,0.00,0,0,0,0,0,0
2033,Nicolas Seiwald,RB Leipzig,4.8,11,2.28,10,1,0,0,0,0,2,0.41,2,0,0,0,0,0
2034,Matz Sels,Nott'ham Forest,13.0,3,0.23,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0
2035,Nelson Semedo,Wolves,10.7,16,1.50,12,1,2,0,0,1,2,0.19,2,0,0,0,0,0
2036,Antoine Semenyo,Bournemouth,11.7,41,3.49,26,0,6,6,3,0,4,0.34,2,0,1,0,1,0
2037,Marvin Senaya,Strasbourg,2.2,3,1.39,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
2038,Marcos Senesi,Bournemouth,10.2,16,1.57,16,0,0,0,0,0,1,0.10,1,0,0,0,0,0
