,Player,Squad,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
1911,Kenneth Omeruo,Leganés,20.8,5,0,0,15,7,0,3,36,17,0,1,0,105,69,34,67.0
1912,Jean Onana,Lille,0.9,0,0,0,2,1,0,1,1,0,0,0,0,2,2,1,66.7
1913,Karim Onisiwo,Mainz 05,19.2,3,0,0,34,53,11,24,7,19,1,0,0,66,53,81,39.6
1914,Javier Ontiveros,Villarreal,9.9,2,0,0,20,20,0,39,5,14,1,0,0,69,8,16,33.3
1915,Henry Onyekuru,Monaco,1.8,0,0,0,0,4,0,2,1,1,0,0,0,7,0,4,0.0
1916,Nicholas Opoku,Udinese,5.3,3,1,1,10,5,0,2,4,8,0,1,0,28,9,5,64.3
1917,Nicholas Opoku,Amiens,7.0,1,0,0,10,4,0,1,7,5,0,0,0,30,11,7,61.1
1918,Willi Orban,RB Leipzig,9.5,0,0,0,6,11,2,0,16,12,0,0,0,50,36,19,65.5
1919,Fabian Orellana,Eibar,26.6,9,1,0,21,54,9,130,20,18,1,0,0,145,15,48,23.8
1920,Divock Origi,Liverpool,8.0,1,0,0,12,16,0,18,4,9,1,0,0,28,18,26,40.9
1921,Aimar Oroz,Osasuna,0.1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0.0
1922,Riccardo Orsolini,Bologna,29.8,3,0,0,40,76,14,198,16,22,3,1,0,126,29,43,40.3
1924,Yuya Osako,Werder Bremen,20.5,2,0,0,31,40,6,16,6,16,1,0,0,64,64,88,42.1
1925,Ben Osborn,Sheffield Utd,6.6,0,0,0,9,6,1,16,6,10,0,0,0,43,6,9,40.0
1926,Victor Osimhen,Lille,25.4,4,0,0,56,40,33,24,11,4,3,0,0,54,109,142,43.4
1927,David Ospina,Napoli,16.3,0,0,0,1,5,0,0,0,0,0,1,0,28,5,0,100.0
1928,Nicolas Otamendi,Manchester City,19.1,3,0,0,21,2,0,0,21,14,0,0,0,84,61,33,64.9
1929,Otavio,Bordeaux,24.6,6,0,0,44,28,0,5,41,45,0,0,0,187,18,17,51.4
1930,Paulo Otavio,Wolfsburg,4.2,3,0,0,8,4,0,14,9,16,0,0,0,22,4,5,44.4
1931,Abou Ouattara,Lille,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
1932,Remi Oudin,Bordeaux,6.2,0,0,0,7,4,5,23,9,6,0,0,0,35,4,13,23.5
1933,Remi Oudin,Reims,15.5,1,0,0,14,7,7,42,18,7,0,0,0,77,18,19,48.6
1934,Alexandre Oukidja,Metz,26.5,3,0,0,1,8,0,0,0,0,0,0,0,34,16,0,100.0
1935,Zinedine Ould Khaled,Angers,0.7,0,0,0,2,0,0,0,4,1,0,0,0,7,2,3,40.0
1936,Adam Ounas,Nice,12.5,2,1,0,7,29,0,53,11,5,1,0,0,47,2,14,12.5
1937,Reece Oxford,Augsburg,4.2,0,0,0,1,6,0,0,5,4,0,0,0,9,5,3,62.5
1938,Alex Oxlade-Chamberlain,Liverpool,16.5,1,0,0,17,14,2,46,22,9,0,0,1,79,14,28,33.3
1939,Mikel Oyarzabal,Real Sociedad,33.9,4,0,0,33,55,16,112,13,15,0,0,0,149,46,67,40.7
1940,Ambroise Oyongo,Montpellier,20.2,3,0,0,14,22,2,64,17,10,0,0,0,114,24,24,50.0
1941,Mesut Ozil,Arsenal,16.0,1,0,0,14,18,6,72,5,8,0,0,0,71,1,4,20.0
1942,Levin Oztunali,Mainz 05,19.8,1,0,0,25,15,11,42,9,19,1,0,0,107,21,21,50.0
1943,Pablo,Bordeaux,24.1,2,0,0,26,11,1,0,40,15,0,2,0,134,112,33,77.2
1944,Fernando Pacheco,Alavés,26.2,0,1,0,1,0,0,0,0,0,0,0,0,18,4,0,100.0
1945,Jon Pacheco,Real Sociedad,0.9,0,0,0,2,0,0,1,0,0,0,0,0,3,1,1,50.0
1946,Goncalo Paciencia,Eint Frankfurt,14.3,4,0,0,28,24,10,20,1,5,0,0,0,36,49,61,44.5
1947,Daniele Padelli,Inter,3.0,0,1,0,0,3,0,0,0,0,0,0,0,4,1,0,100.0
1948,Marko Pajac,Genoa,8.4,1,0,0,8,7,0,79,8,4,0,0,0,57,1,1,50.0
1950,Vincent Pajot,Angers,1.3,0,0,0,2,0,0,1,5,2,0,0,0,6,4,2,66.7
1951,Vincent Pajot,Metz,5.8,0,1,0,13,4,1,12,9,11,0,0,0,26,6,9,40.0
1952,Rodrigo Palacio,Bologna,28.0,5,0,0,30,53,29,96,5,11,0,1,0,76,62,82,43.1
1953,Exequiel Palacios,Leverkusen,2.0,0,0,0,1,5,0,0,1,7,0,0,0,11,0,0,0.0
1954,Sergi Palencia,Saint-Étienne,5.2,2,0,0,8,8,1,19,8,10,0,0,0,30,3,11,21.4
1955,Nicolas Pallois,Nantes,21.0,10,0,0,20,19,2,2,40,36,0,0,0,175,44,30,59.5
