,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt
112,Ikechi Anya,SYC,"MF,DF",Watford,eng Premier League,27.0,1988.0,18.7,0.0,,1.0,,,0.05,,0.0,,0.0,0.0
113,Siniša Anđelković,SVN,DF,Palermo,it Serie A,29.0,1986.0,21.2,0.0,,0.0,,,0.0,,,,0.0,0.0
114,Dennis Aogo,DEU,"DF,MF",Schalke 04,de Bundesliga,28.0,1987.0,20.6,0.0,,2.0,,,0.1,,0.0,,0.0,0.0
115,Dennis Appiah,FRA,DF,Caen,fr Ligue 1,23.0,1992.0,38.0,1.0,,4.0,,,0.11,,0.25,,0.0,0.0
116,Youssef El-Arabi,MAR,FW,Granada,es La Liga,28.0,1987.0,27.9,16.0,70.0,34.0,48.6,2.51,1.22,0.13,0.26,,7.0,7.0
117,Mauro Arambarri,URY,MF,Bordeaux,fr Ligue 1,19.0,1995.0,1.7,0.0,,0.0,,,0.0,,,,0.0,0.0
118,Charles Aránguiz,CHL,"MF,DF",Leverkusen,de Bundesliga,26.0,1989.0,5.2,2.0,,3.0,,,0.57,,0.67,,0.0,0.0
119,Alexis Araujo,PRT,MF,Lille,fr Ligue 1,18.0,1996.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0
120,Sergio Araujo,ARG,FW,Las Palmas,es La Liga,23.0,1992.0,20.2,5.0,61.0,25.0,41.0,3.02,1.24,0.08,0.2,,0.0,0.0
121,Álvaro Arbeloa,ESP,DF,Real Madrid,es La Liga,32.0,1983.0,2.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
122,Anaitz Arbilla,ESP,DF,Espanyol,es La Liga,28.0,1987.0,7.0,0.0,7.0,2.0,28.6,1.0,0.29,0.0,0.0,,0.0,0.0
123,Alphonse Areola,FRA,GK,Villarreal,es La Liga,22.0,1993.0,32.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
124,Lorenzo Ariaudo,ITA,DF,Empoli,it Serie A,26.0,1989.0,4.7,0.0,,0.0,,,0.0,,,,0.0,0.0
125,Lorenzo Ariaudo,ITA,DF,Sassuolo,it Serie A,26.0,1989.0,2.6,0.0,,0.0,,,0.0,,,,0.0,0.0
126,Fynn Arkenberg,DEU,DF,Hannover 96,de Bundesliga,19.0,1996.0,2.0,0.0,,0.0,,,0.0,,,,0.0,0.0
127,Giedrius Arlauskis,LTU,GK,Watford,eng Premier League,27.0,1987.0,0.3,0.0,,0.0,,,0.0,,,,0.0,0.0
128,Giedrius Arlauskis,LTU,GK,Espanyol,es La Liga,27.0,1987.0,2.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
