,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
130,Federico Marchetti,ITA,GK,Lazio,it Serie A,33.0,1983.0,17.0,17.0,1485.0,16.5,22.0,1.33,76.0,54.0,72.4,9.0,4.0,4.0,2.0,11.8,5.0,1.0,2.0,2.0,66.7
131,Diego Mariño,ESP,GK,Sporting Gijón,es La Liga,26.0,1990.0,2.0,2.0,180.0,2.0,3.0,1.5,11.0,9.0,81.8,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
132,David Marshall,SYC,GK,Hull City,eng Premier League,31.0,1985.0,16.0,16.0,1440.0,16.0,44.0,2.75,107.0,63.0,65.4,1.0,3.0,12.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0
133,Emiliano Martínez,ARG,GK,Arsenal,eng Premier League,23.0,1992.0,2.0,2.0,180.0,2.0,3.0,1.5,8.0,5.0,75.0,1.0,0.0,1.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0
134,Christian Mathenia,DEU,GK,Hamburger SV,de Bundesliga,24.0,1992.0,14.0,14.0,1260.0,14.0,19.0,1.36,58.0,39.0,70.7,5.0,4.0,5.0,3.0,21.4,2.0,2.0,0.0,0.0,0.0
135,Mathieu Michel,FRA,GK,Angers,fr Ligue 1,24.0,1991.0,23.0,23.0,2070.0,23.0,25.0,1.09,69.0,44.0,65.2,11.0,4.0,8.0,8.0,34.8,1.0,1.0,0.0,0.0,0.0
136,Tom Mickel,DEU,GK,Hamburger SV,de Bundesliga,27.0,1989.0,1.0,1.0,90.0,1.0,4.0,4.0,9.0,5.0,55.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
137,Simon Mignolet,BEL,GK,Liverpool,eng Premier League,28.0,1988.0,28.0,28.0,2520.0,28.0,30.0,1.07,82.0,52.0,65.9,16.0,7.0,5.0,9.0,32.1,4.0,2.0,2.0,0.0,50.0
138,Antonio Mirante,ITA,GK,Bologna,it Serie A,33.0,1983.0,21.0,21.0,1879.0,20.9,32.0,1.53,100.0,68.0,69.0,7.0,4.0,10.0,8.0,38.1,3.0,1.0,1.0,1.0,50.0
139,Jessy Moulin,FRA,GK,Saint-Étienne,fr Ligue 1,30.0,1986.0,6.0,6.0,460.0,5.1,3.0,0.59,26.0,23.0,88.5,3.0,1.0,1.0,2.0,33.3,0.0,0.0,0.0,0.0,
140,Sven Müller,DEU,GK,Köln,de Bundesliga,20.0,1996.0,1.0,1.0,90.0,1.0,0.0,0.0,4.0,4.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
141,Guy N'dy Assembé,CMR,GK,Nancy,fr Ligue 1,30.0,1986.0,23.0,23.0,2043.0,22.7,31.0,1.37,103.0,72.0,73.8,6.0,5.0,12.0,6.0,26.1,5.0,4.0,1.0,0.0,20.0
142,Keylor Navas,CRI,GK,Real Madrid,es La Liga,29.0,1986.0,27.0,27.0,2430.0,27.0,31.0,1.15,113.0,83.0,73.5,20.0,4.0,3.0,5.0,18.5,2.0,1.0,0.0,1.0,0.0
143,Neto,BRA,GK,Juventus,it Serie A,27.0,1989.0,8.0,7.0,675.0,7.5,2.0,0.27,15.0,13.0,86.7,6.0,1.0,0.0,5.0,71.4,0.0,0.0,0.0,0.0,
