Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
Ross Barkley,204,GBR,MF,Chelsea,eng Premier League,25.0,1993.0,21.0,13.0,1103.0,12.3,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.08,0.33,0.41,0.08,0.41,2.7,2.7,2.3,5.1,0.22,0.19,0.41,0.22,0.41
Aymen Barkok,205,MAR,"FW,MF",Düsseldorf,de Bundesliga,21.0,1998.0,3.0,1.0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Barnes,206,GBR,FW,Burnley,eng Premier League,29.0,1989.0,19.0,17.0,1352.0,15.0,6.0,0.0,5.0,1.0,1.0,4.0,0.0,0.4,0.0,0.4,0.33,0.33,6.2,5.4,0.3,5.7,0.41,0.02,0.43,0.36,0.38
Harvey Barnes,208,GBR,"MF,FW",Leicester City,eng Premier League,21.0,1997.0,36.0,24.0,2083.0,23.1,6.0,8.0,6.0,0.0,0.0,0.0,0.0,0.26,0.35,0.6,0.26,0.6,8.1,8.1,4.1,12.2,0.35,0.18,0.53,0.35,0.53
Antonio Barragán,209,ESP,DF,Betis,es La Liga,32.0,1987.0,12.0,7.0,641.0,7.1,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.14,0.14,0.0,0.14,0.1,0.1,0.6,0.7,0.02,0.08,0.09,0.02,0.09
Antonio Barreca,210,ITA,"DF,FW",Genoa,it Serie A,24.0,1995.0,18.0,11.0,1095.0,12.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,0.2,0.2,0.7,0.8,0.02,0.05,0.07,0.02,0.07
Leandro Barreiro Martins,211,LUX,MF,Mainz 05,de Bundesliga,19.0,2000.0,18.0,11.0,938.0,10.4,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.19,0.19,0.0,0.19,0.4,0.4,0.3,0.7,0.04,0.03,0.07,0.04,0.07
Ander Barrenetxea,212,ESP,"FW,MF",Real Sociedad,es La Liga,17.0,2001.0,17.0,3.0,442.0,4.9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.2,0.2,0.9,0.9,0.5,1.4,0.18,0.1,0.29,0.18,0.29
Édgar Barreto,213,PRY,MF,Sampdoria,it Serie A,35.0,1984.0,2.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
Musa Barrow,214,GMB,"FW,MF",Bologna,it Serie A,20.0,1998.0,18.0,14.0,1354.0,15.0,9.0,2.0,8.0,1.0,1.0,1.0,0.0,0.6,0.13,0.73,0.53,0.66,5.3,4.5,3.1,7.6,0.35,0.2,0.56,0.3,0.5
Fin Bartels,216,DEU,"MF,FW",Werder Bremen,de Bundesliga,32.0,1987.0,14.0,1.0,340.0,3.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.08,0.07,0.15,0.08,0.15
Marc Bartra,217,ESP,"DF,MF",Betis,es La Liga,28.0,1991.0,30.0,29.0,2524.0,28.0,3.0,1.0,3.0,0.0,0.0,8.0,0.0,0.11,0.04,0.14,0.11,0.14,2.5,2.5,2.0,4.5,0.09,0.07,0.16,0.09,0.16
Daniele Baselli,218,ITA,MF,Torino,it Serie A,27.0,1992.0,16.0,16.0,1278.0,14.2,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.14,0.14,0.0,0.14,0.7,0.7,0.9,1.6,0.05,0.06,0.11,0.05,0.11
Chris Basham,219,GBR,DF,Sheffield Utd,eng Premier League,31.0,1988.0,38.0,38.0,3242.0,36.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.03,0.03,0.0,0.03,0.3,0.3,1.3,1.6,0.01,0.04,0.04,0.01,0.04
Toma Bašić,220,HRV,MF,Bordeaux,fr Ligue 1,22.0,1996.0,15.0,11.0,991.0,11.0,1.0,3.0,1.0,0.0,0.0,4.0,0.0,0.09,0.27,0.36,0.09,0.36,0.8,0.8,2.7,3.5,0.07,0.24,0.31,0.07,0.31
Thomas Basila,221,FRA,DF,Nantes,fr Ligue 1,20.0,1999.0,7.0,3.0,415.0,4.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06
Gil Bastião Dias,222,PRT,"MF,DF",Granada,es La Liga,22.0,1996.0,12.0,3.0,356.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.25,0.3,0.3,0.3,0.6,0.07,0.09,0.16,0.07,0.16
Borja Bastón,224,ESP,"MF,FW",Aston Villa,eng Premier League,26.0,1992.0,2.0,0.0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alessandro Bastoni,225,ITA,DF,Inter,it Serie A,20.0,1999.0,25.0,21.0,1921.0,21.3,2.0,0.0,2.0,0.0,0.0,9.0,1.0,0.09,0.0,0.09,0.09,0.09,1.3,1.3,0.7,2.0,0.06,0.03,0.09,0.06,0.09
Bastos,226,AGO,DF,Lazio,it Serie A,28.0,1991.0,16.0,6.0,765.0,8.5,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.12,0.0,0.12,0.12,0.12,0.4,0.4,0.0,0.4,0.05,0.0,0.05,0.05,0.05
Oliver Batista-Meier,227,DEU,MF,Bayern Munich,de Bundesliga,18.0,2001.0,1.0,0.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michy Batshuayi,228,BEL,FW,Chelsea,eng Premier League,25.0,1993.0,16.0,1.0,239.0,2.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.38,0.38,0.75,0.38,0.75,2.4,2.4,0.2,2.6,0.92,0.06,0.98,0.92,0.98
Cristian Battocchio,229,ITA,MF,Brest,fr Ligue 1,27.0,1992.0,24.0,16.0,1392.0,15.5,3.0,1.0,3.0,0.0,1.0,1.0,0.0,0.19,0.06,0.26,0.19,0.26,1.7,1.0,1.7,2.6,0.11,0.11,0.22,0.06,0.17
