,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
2376,Kévin Rodrigues,pt POR,"DF,FW",Rayo Vallecano,La Liga,27.0,1994.0,4.8,290.0,12.0,87.0,151.0,56.0,2.0,290.0,4.0,2.0,50.0,2.0,50.0,116.0,585.0,295.0,9.0,8.0,0.0,11.0,5.0,131.0,11.0
2377,Ángel Rodríguez,es ESP,"FW,MF",Mallorca,La Liga,34.0,1987.0,17.2,442.0,17.0,57.0,195.0,198.0,62.0,442.0,23.0,13.0,56.5,10.0,43.5,250.0,1361.0,590.0,23.0,15.0,5.0,45.0,21.0,290.0,85.0
2378,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",Getafe,La Liga,23.0,1998.0,10.5,537.0,11.0,87.0,291.0,168.0,11.0,537.0,19.0,10.0,52.6,9.0,47.4,285.0,1681.0,732.0,19.0,19.0,4.0,20.0,12.0,345.0,31.0
2379,Óscar Rodríguez Arnaiz,es ESP,"FW,MF",Sevilla,La Liga,23.0,1998.0,4.6,276.0,9.0,46.0,125.0,109.0,14.0,276.0,20.0,12.0,60.0,8.0,40.0,183.0,976.0,448.0,13.0,7.0,4.0,14.0,4.0,211.0,39.0
2380,Dani Rodríguez,es ESP,"MF,FW",Mallorca,La Liga,33.0,1988.0,31.5,1351.0,32.0,192.0,646.0,546.0,86.0,1351.0,100.0,60.0,60.0,40.0,40.0,800.0,4998.0,2043.0,65.0,58.0,15.0,88.0,81.0,877.0,130.0
2381,Guido Rodríguez,ar ARG,MF,Betis,La Liga,27.0,1994.0,28.1,1782.0,107.0,583.0,1051.0,163.0,11.0,1782.0,27.0,18.0,66.7,9.0,33.3,897.0,3310.0,1474.0,13.0,15.0,1.0,25.0,17.0,1093.0,14.0
2382,Jay Rodriguez,eng ENG,FW,Burnley,Premier League,32.0,1989.0,15.4,492.0,16.0,74.0,202.0,220.0,54.0,492.0,15.0,8.0,53.3,7.0,46.7,230.0,1132.0,445.0,18.0,18.0,3.0,29.0,13.0,336.0,60.0
2383,Ricardo Rodríguez,ch SUI,DF,Torino,Serie A,28.0,1992.0,27.5,1672.0,88.0,586.0,868.0,228.0,6.0,1672.0,5.0,5.0,100.0,0.0,0.0,1001.0,5203.0,3169.0,50.0,52.0,3.0,8.0,2.0,1092.0,27.0
2384,Rodrygo,br BRA,FW,Real Madrid,La Liga,20.0,2001.0,16.9,898.0,3.0,88.0,314.0,507.0,107.0,898.0,58.0,27.0,46.6,31.0,53.4,632.0,3830.0,2220.0,76.0,55.0,38.0,48.0,15.0,695.0,194.0
2385,Mads Roerslev,dk DEN,DF,Brentford,Premier League,22.0,1999.0,13.8,493.0,45.0,187.0,181.0,127.0,12.0,493.0,15.0,4.0,26.7,11.0,73.3,244.0,1011.0,394.0,14.0,12.0,1.0,9.0,4.0,259.0,54.0
