,Player,Squad,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
48,Marko Dmitrovic,Eibar,35,35,3120,34.7,49,1.41,129,79,64.3,6,11,18,9,25.7,5,3,1,1,25.0
49,Jaume Domenech,Valencia,28,28,2520,28.0,42,1.50,130,88,70.8,5,12,11,4,14.3,6,4,2,0,33.3
50,Gianluigi Donnarumma,Milan,37,37,3330,37.0,38,1.03,126,88,71.4,24,6,7,14,37.8,4,2,1,1,33.3
52,Bartlomiej Dragowski,Fiorentina,36,36,3148,35.0,55,1.57,141,85,66.7,9,12,15,7,19.4,10,8,2,0,20.0
53,Matthieu Dreyer,Lorient,15,15,1350,15.0,25,1.67,56,32,66.1,5,5,5,2,13.3,6,6,0,0,0.0
54,Martin Dubravka,Newcastle Utd,13,13,1170,13.0,19,1.46,62,44,71.0,5,5,3,3,23.1,1,1,0,0,0.0
55,Ederson,Manchester City,36,36,3240,36.0,28,0.78,93,65,77.4,25,5,6,19,52.8,8,7,1,0,12.5
56,Aaron Escandell,Granada,5,5,450,5.0,8,1.60,24,16,66.7,1,1,3,1,20.0,0,0,0,0,0.0
57,Jokin Ezkieta,Athletic Club,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,0.0
58,Lukasz Fabianski,West Ham,35,35,3150,35.0,44,1.26,138,97,70.3,17,8,10,10,28.6,5,3,1,1,25.0
59,Ralf Fahrmann,Schalke 04,22,22,1876,20.8,50,2.40,143,94,67.1,3,3,16,3,13.6,4,3,1,0,25.0
