,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off
227,Alex Baptiste,GBR,DF,Middlesbrough,eng Premier League,30.0,1986.0,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,
228,Federico Barba,ITA,DF,Empoli,it Serie A,22.0,1993.0,11.0,812.0,74.0,23.7,9.0,9.0,,7.0,2.0,,19.0,0.73,6.0,16.0,-10.0,-1.11,-0.35
229,Andrea Barberis,ITA,MF,Crotone,it Serie A,22.0,1993.0,26.0,2059.0,79.0,60.2,22.9,23.0,,16.0,3.0,,12.0,1.27,22.0,26.0,-4.0,-0.17,1.15
230,Gabriel Barbosa,BRA,"FW,MF",Inter,it Serie A,19.0,1996.0,9.0,120.0,13.0,3.5,1.3,0.0,,0.0,9.0,,23.0,1.78,2.0,1.0,1.0,0.75,0.15
231,Mariano Barbosa,ARG,GK,Villarreal,es La Liga,32.0,1984.0,0.0,,,,,0.0,,0.0,0.0,,16.0,,,,,,
232,Ander Bardají,ESP,GK,Real Sociedad,es La Liga,21.0,1995.0,0.0,,,,,0.0,,0.0,0.0,,5.0,,,,,,
234,Phil Bardsley,SYC,DF,Stoke City,eng Premier League,31.0,1985.0,15.0,1168.0,78.0,34.2,13.0,14.0,,10.0,1.0,,12.0,1.13,12.0,17.0,-5.0,-0.39,0.01
235,Keidi Bare,ALB,MF,Atlético Madrid,es La Liga,18.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,4.0,,,,,,
236,Nicolò Barella,ITA,MF,Cagliari,it Serie A,19.0,1997.0,28.0,1908.0,68.0,55.8,21.2,22.0,,13.0,6.0,,2.0,1.25,26.0,42.0,-16.0,-0.75,-0.46
237,Philipp Bargfrede,DEU,MF,Werder Bremen,de Bundesliga,27.0,1989.0,11.0,455.0,41.0,14.9,5.1,4.0,,3.0,7.0,,1.0,1.64,8.0,6.0,2.0,0.4,0.57
238,Kike Barja,ESP,MF,Osasuna,es La Liga,19.0,1997.0,1.0,17.0,17.0,0.5,0.2,0.0,,0.0,1.0,17.0,2.0,0.0,0.0,1.0,-1.0,-5.29,-3.89
239,Ross Barkley,GBR,"MF,FW",Everton,eng Premier League,22.0,1993.0,36.0,2899.0,81.0,84.8,32.2,32.0,,19.0,4.0,,2.0,1.64,53.0,36.0,17.0,0.53,0.36
240,Aymen Barkok,MAR,MF,Eint Frankfurt,de Bundesliga,18.0,1998.0,18.0,659.0,37.0,21.5,7.3,6.0,,2.0,12.0,,8.0,1.11,6.0,9.0,-3.0,-0.41,-0.26
241,Ashley Barnes,GBR,FW,Burnley,eng Premier League,26.0,1989.0,28.0,1773.0,63.0,51.8,19.7,20.0,,7.0,8.0,,0.0,1.07,16.0,27.0,-11.0,-0.56,-0.29
242,Riccardo Baroni,ITA,DF,Fiorentina,it Serie A,17.0,1998.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
243,Antonio Barragán,ESP,DF,Middlesbrough,eng Premier League,29.0,1987.0,26.0,2193.0,84.0,64.1,24.4,26.0,,23.0,0.0,,4.0,0.85,21.0,32.0,-11.0,-0.45,0.65
