,Player,Squad,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
208,Thierno Barry,Villarreal,7.9,1,0,0,19,18,10,0,0,0,1,0,0,11,28,19,59.6
209,Davide Bartesaghi,Milan,0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
210,Marc Bartra,Betis,5.3,0,0,0,0,2,0,0,5,3,0,0,0,25,10,7,58.8
211,Federico Baschirotto,Lecce,12.0,2,0,0,9,1,0,0,11,10,0,0,0,20,27,18,60.0
212,Daniele Baselli,Como,0.2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0
213,Calvin Bassey,Fulham,11.0,3,0,0,8,12,1,1,4,8,0,0,0,42,10,17,37.0
214,Aboubacar Bassinga,Las Palmas,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
215,Alessandro Bastoni,Inter,9.5,1,0,0,17,11,0,23,9,10,0,0,0,35,16,10,61.5
216,Augusto Batalla,Rayo Vallecano,8.0,0,0,0,0,2,0,0,0,0,0,0,0,7,2,0,100.0
217,Dylan Batubinsika,Saint-Étienne,9.6,1,0,0,12,5,0,0,23,7,0,1,1,31,18,8,69.2
218,Maximilian Bauer,Augsburg,4.9,1,0,0,4,9,0,3,5,6,0,0,0,12,11,8,57.9
219,Oliver Baumann,Hoffenheim,10.0,0,0,0,0,2,0,0,0,0,0,0,0,15,4,0,100.0
220,Christoph Baumgartner,RB Leipzig,4.1,1,0,0,9,6,0,2,3,7,0,0,0,21,11,7,61.1
221,Rafael Bauza,Espanyol,0.7,1,0,0,3,0,0,0,0,2,0,0,0,1,3,1,75.0
222,Adrian Beck,Heidenheim,3.7,0,0,0,3,2,0,6,4,6,0,0,0,29,9,4,69.2
223,Sheraldo Becker,Real Sociedad,6.7,0,0,0,6,10,6,38,1,2,0,0,0,14,7,10,41.2
224,Timo Becker,Holstein Kiel,9.5,0,0,0,3,4,0,6,6,9,0,0,0,35,11,10,52.4
225,Jan Bednarek,Southampton,10.9,3,0,0,9,5,0,0,15,4,0,0,0,48,11,11,50.0
226,Donny van de Beek,Girona,5.8,2,0,0,12,2,1,4,3,3,0,0,0,20,1,4,20.0
227,Kevin Behrens,Wolfsburg,1.0,1,0,0,0,0,0,0,0,1,0,0,0,3,7,8,46.7
228,Maximilian Beier,Dortmund,4.6,1,0,0,4,7,2,3,2,2,0,0,0,14,10,7,58.8
229,Reda Belahyane,Hellas Verona,10.0,5,1,1,16,6,0,1,5,14,0,0,0,55,4,8,33.3
230,Haris Belkebla,Angers,6.0,0,0,0,5,10,1,1,6,9,0,0,0,23,4,5,44.4
231,Yassin Belkhdim,Angers,5.2,2,0,0,11,6,0,3,8,12,0,0,0,35,1,4,20.0
232,Stefan Bell,Mainz 05,3.8,1,0,0,7,2,0,0,11,3,0,0,0,13,28,9,75.7
234,Raoul Bellanova,Torino,1.0,0,0,0,1,1,0,5,0,0,0,0,0,4,1,0,100.0
235,Raoul Bellanova,Atalanta,6.8,1,0,0,0,10,0,35,7,5,0,0,0,25,7,5,58.3
236,Jean-Ricner Bellegarde,Wolves,5.3,2,0,0,9,14,0,11,4,4,0,0,0,15,1,11,8.3
237,Hector Bellerin,Betis,5.8,1,0,0,6,0,0,10,6,7,0,0,0,11,6,7,46.2
238,Jude Bellingham,Real Madrid,7.7,1,0,0,9,8,1,5,10,10,0,0,0,31,4,9,30.8
239,Jeanuel Belocian,Leverkusen,0.5,1,0,0,1,4,0,0,0,1,0,0,0,1,1,1,50.0
240,Andrea Belotti,Como,3.3,0,0,0,4,8,2,2,1,4,0,0,0,9,13,13,50.0
241,Fran Beltran,Celta Vigo,8.4,1,0,0,7,2,0,2,5,9,0,0,0,35,5,10,33.3
242,Lucas Beltran,Fiorentina,5.2,0,0,0,6,8,2,3,1,4,0,0,0,19,4,9,30.8
243,Eliesse Ben Seghir,Monaco,7.7,0,0,0,15,31,1,13,3,13,0,0,0,36,3,7,30.0
244,Carlos Benavidez,Alavés,2.6,1,0,0,8,2,0,1,5,3,0,0,0,17,5,3,62.5
245,Adrian Benedyczak,Parma,0.6,0,0,0,1,1,1,1,0,0,0,0,0,2,0,4,0.0
246,Laszlo Benes,Union Berlin,1.8,1,0,0,4,1,1,12,0,1,0,0,0,13,1,4,20.0
247,Iker Benito,Osasuna,0.4,0,0,0,1,1,0,2,1,0,0,0,0,3,0,1,0.0
248,Ismael Bennacer,Milan,0.6,0,0,0,1,0,0,4,0,1,0,0,0,1,0,0,0.0
249,Said Benrahma,Lyon,4.9,0,0,0,4,5,3,29,1,3,0,0,0,17,0,0,0.0
250,Ramy Bensebaini,Dortmund,5.0,5,0,0,10,6,0,5,6,3,0,0,0,28,8,4,66.7
