,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt
607,Gaël Clichy,fr FRA,DF,Manchester City,Premier League,27.0,1985.0,25.9,0.0,,4.0,,,0.15,,0.0,,0.0,0.0
608,Nathaniel Clyne,eng ENG,DF,Southampton,Premier League,21.0,1991.0,33.5,1.0,,3.0,,,0.09,,0.33,,0.0,0.0
609,Conor Coady,eng ENG,"DF,MF",Liverpool,Premier League,19.0,1993.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0
610,Sebastián Coates,uy URU,DF,Liverpool,Premier League,21.0,1990.0,2.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
611,David Cobeño,es ESP,GK,Rayo Vallecano,La Liga,30.0,1982.0,7.7,0.0,,0.0,,,0.0,,,,0.0,0.0
612,Andrea Coda,it ITA,DF,Udinese,Serie A,27.0,1985.0,9.3,0.0,,2.0,,,0.22,,0.0,,0.0,0.0
613,Andrea Coda,it ITA,DF,Parma,Serie A,27.0,1985.0,5.2,0.0,,1.0,,,0.19,,0.0,,0.0,0.0
614,Jordi Codina,es ESP,GK,Getafe,La Liga,30.0,1982.0,6.9,0.0,,0.0,,,0.0,,,,0.0,0.0
615,Fábio Coentrão,pt POR,DF,Real Madrid,La Liga,24.0,1988.0,15.3,1.0,,3.0,,,0.2,,0.33,,0.0,0.0
616,Isaac Cofie,gh GHA,MF,Chievo,Serie A,20.0,1991.0,23.0,2.0,,6.0,,,0.26,,0.33,,0.0,0.0
617,Renaud Cohade,fr FRA,MF,Saint-Étienne,Ligue 1,27.0,1984.0,29.2,4.0,,13.0,,,0.44,,0.31,,0.0,0.0
618,Almog Cohen,il ISR,MF,Nürnberg,Bundesliga,23.0,1988.0,4.3,0.0,,1.0,,,0.23,,0.0,,0.0,0.0
619,Coke,es ESP,DF,Sevilla,La Liga,25.0,1987.0,17.1,3.0,,6.0,,,0.35,,0.5,,0.0,0.0
620,Jack Colback,eng ENG,"DF,MF",Sunderland,Premier League,22.0,1989.0,31.3,0.0,,3.0,,,0.1,,0.0,,0.0,0.0
621,Ashley Cole,eng ENG,DF,Chelsea,Premier League,31.0,1980.0,31.0,1.0,,2.0,,,0.06,,0.5,,0.0,0.0
622,Carlton Cole,eng ENG,FW,West Ham,Premier League,28.0,1983.0,15.2,2.0,,19.0,,,1.25,,0.11,,0.0,0.0
624,Joe Cole,eng ENG,MF,West Ham,Premier League,30.0,1981.0,6.9,2.0,,5.0,,,0.73,,0.4,,0.0,0.0
625,Joe Cole,eng ENG,MF,Liverpool,Premier League,30.0,1981.0,1.9,1.0,,3.0,,,1.57,,0.33,,0.0,0.0
626,Séamus Coleman,ie IRL,"DF,MF",Everton,Premier League,23.0,1988.0,24.1,0.0,,1.0,,,0.04,,0.0,,0.0,0.0
627,Maxime Colin,fr FRA,"DF,MF",Troyes,Ligue 1,20.0,1991.0,15.5,0.0,,0.0,,,0.0,,,,0.0,0.0
628,James Collins,wls WAL,DF,West Ham,Premier League,28.0,1983.0,27.7,0.0,,5.0,,,0.18,,0.0,,0.0,0.0
629,Jack Collison,wls WAL,MF,West Ham,Premier League,23.0,1988.0,7.1,2.0,,8.0,,,1.13,,0.25,,0.0,0.0
630,Fabricio Coloccini,ar ARG,"DF,MF",Newcastle Utd,Premier League,30.0,1982.0,21.3,0.0,,3.0,,,0.14,,0.0,,0.0,0.0
631,Diego Colotto,ar ARG,DF,Espanyol,La Liga,31.0,1981.0,27.3,2.0,,5.0,,,0.18,,0.4,,0.0,0.0
632,Giuseppe Colucci,it ITA,MF,Pescara,Serie A,31.0,1980.0,8.7,0.0,,3.0,,,0.35,,0.0,,0.0,0.0
633,Adrián Colunga,es ESP,"FW,MF",Getafe,La Liga,27.0,1984.0,14.1,6.0,,19.0,,,1.35,,0.32,,0.0,0.0
634,Kingsley Coman,fr FRA,"FW,MF",Paris S-G,Ligue 1,16.0,1996.0,0.0,0.0,,1.0,,,22.5,,0.0,,0.0,0.0
635,Marvin Compper,de GER,DF,Fiorentina,Serie A,27.0,1985.0,6.7,0.0,,0.0,,,0.0,,,,0.0,0.0
636,Marvin Compper,de GER,DF,Hoffenheim,Bundesliga,27.0,1985.0,15.6,0.0,,1.0,,,0.06,,0.0,,0.0,0.0
637,Anderson Conceição,br BRA,DF,Mallorca,La Liga,22.0,1989.0,13.8,0.0,,2.0,,,0.14,,0.0,,0.0,0.0
638,Daniel Congré,fr FRA,DF,Montpellier,Ligue 1,27.0,1985.0,35.3,1.0,,3.0,,,0.08,,0.33,,0.0,0.0
639,Andrea Consigli,it ITA,GK,Atalanta,Serie A,25.0,1987.0,34.8,0.0,,0.0,,,0.0,,,,0.0,0.0
640,Kévin Constant,gn GUI,"DF,MF",Milan,Serie A,25.0,1987.0,20.8,0.0,,2.0,,,0.1,,0.0,,0.0,0.0
641,Antoine Conte,gn GUI,DF,Paris S-G,Ligue 1,18.0,1994.0,0.2,0.0,,0.0,,,0.0,,,,0.0,0.0
642,Diego Contento,de GER,DF,Bayern Munich,Bundesliga,22.0,1990.0,4.2,0.0,,0.0,,,0.0,,,,0.0,0.0
643,Daniele Conti,it ITA,MF,Cagliari,Serie A,33.0,1979.0,28.4,3.0,,12.0,,,0.42,,0.25,,0.0,1.0
644,Matteo Contini,it ITA,DF,Siena,Serie A,32.0,1980.0,9.9,0.0,,0.0,,,0.0,,,,0.0,0.0
645,Matteo Contini,it ITA,DF,Atalanta,Serie A,32.0,1980.0,1.8,0.0,,1.0,,,0.55,,0.0,,0.0,0.0
646,Roy Contout,fr FRA,FW,Sochaux,Ligue 1,27.0,1985.0,16.6,0.0,,6.0,,,0.36,,0.0,,0.0,0.0
647,Ferdinando Coppola,it ITA,GK,Torino,Serie A,34.0,1978.0,1.0,0.0,,0.0,,,0.0,,,,0.0,0.0
648,Manuel Coppola,it ITA,MF,Siena,Serie A,30.0,1982.0,0.8,0.0,,1.0,,,1.2,,0.0,,0.0,0.0
650,Francis Coquelin,fr FRA,"DF,MF",Arsenal,Premier League,21.0,1991.0,2.5,0.0,,1.0,,,0.39,,0.0,,0.0,0.0
651,Sébastien Corchia,fr FRA,DF,Sochaux,Ligue 1,21.0,1990.0,33.2,1.0,,6.0,,,0.18,,0.17,,0.0,1.0
652,Benjamin Corgnet,fr FRA,MF,Lorient,Ligue 1,25.0,1987.0,22.6,5.0,,24.0,,,1.06,,0.21,,0.0,0.0
653,Jack Cork,eng ENG,"DF,MF",Southampton,Premier League,23.0,1989.0,27.0,0.0,,6.0,,,0.22,,0.0,,0.0,0.0
654,Uroš Ćosić,rs SRB,DF,Pescara,Serie A,19.0,1992.0,18.2,0.0,,1.0,,,0.05,,0.0,,0.0,0.0
655,Andrea Cossu,it ITA,MF,Cagliari,Serie A,32.0,1980.0,13.3,0.0,,2.0,,,0.15,,0.0,,0.0,0.0
656,Andrea Costa,it ITA,"DF,MF",Sampdoria,Serie A,26.0,1986.0,26.2,1.0,,2.0,,,0.08,,0.5,,0.0,0.0
657,Diego Costa,es ESP,FW,Atlético Madrid,La Liga,23.0,1988.0,22.6,10.0,,27.0,,,1.19,,0.37,,0.0,0.0
658,Angelo da Costa Júnior,br BRA,GK,Sampdoria,Serie A,28.0,1983.0,4.0,0.0,,0.0,,,0.0,,,,0.0,0.0
659,Ricardo Costa,pt POR,DF,Valencia,La Liga,31.0,1981.0,24.0,4.0,,7.0,,,0.29,,0.57,,0.0,0.0
660,Tino Costa,ar ARG,MF,Valencia,La Liga,27.0,1985.0,25.2,1.0,,21.0,,,0.83,,0.05,,0.0,0.0
661,Benoît Costil,fr FRA,GK,Rennes,Ligue 1,25.0,1987.0,36.3,0.0,,0.0,,,0.0,,,,0.0,0.0
662,Kafoumba Coulibaly,ci CIV,MF,Nice,Ligue 1,26.0,1985.0,0.5,0.0,,0.0,,,0.0,,,,0.0,0.0
663,Karim Coulibaly,fr FRA,MF,Nancy,Ligue 1,19.0,1993.0,2.5,0.0,,3.0,,,1.19,,0.0,,0.0,0.0
664,Ousmane Coulibaly,ml MLI,DF,Brest,Ligue 1,23.0,1989.0,12.3,0.0,,0.0,,,0.0,,,,0.0,0.0
665,Gaëtan Courtet,fr FRA,FW,Reims,Ligue 1,23.0,1989.0,22.2,9.0,,24.0,,,1.08,,0.38,,0.0,1.0
666,Thibaut Courtois,be BEL,GK,Atlético Madrid,La Liga,20.0,1992.0,37.0,0.0,,0.0,,,0.0,,,,0.0,0.0
667,Mathieu Coutadeur,fr FRA,MF,Lorient,Ligue 1,26.0,1986.0,2.0,0.0,,0.0,,,0.0,,,,0.0,0.0
668,Philippe Coutinho,br BRA,"FW,MF",Liverpool,Premier League,20.0,1992.0,10.3,3.0,,24.0,,,2.34,,0.13,,0.0,0.0
669,Philippe Coutinho,br BRA,"FW,MF",Inter,Serie A,20.0,1992.0,3.5,1.0,,6.0,,,1.74,,0.17,,0.0,0.0
670,Luca Crecco,it ITA,MF,Lazio,Serie A,16.0,1995.0,0.3,0.0,,0.0,,,0.0,,,,0.0,0.0
671,Cris,br BRA,DF,Lyon,Ligue 1,35.0,1977.0,1.9,0.0,,1.0,,,0.52,,0.0,,0.0,0.0
672,Pierrick Cros,fr FRA,GK,Sochaux,Ligue 1,21.0,1991.0,4.0,0.0,,0.0,,,0.0,,,,0.0,0.0
673,Peter Crouch,eng ENG,FW,Stoke City,Premier League,31.0,1981.0,25.8,7.0,,23.0,,,0.89,,0.3,,0.0,0.0
674,Rinaldo Cruzado,pe PER,MF,Chievo,Serie A,27.0,1984.0,2.1,1.0,,1.0,,,0.48,,1.0,,0.0,0.0
676,Juan Cuadrado,co COL,"DF,FW",Fiorentina,Serie A,24.0,1988.0,32.8,5.0,,17.0,,,0.52,,0.29,,0.0,0.0
677,Carlos Cuéllar,es ESP,DF,Sunderland,Premier League,30.0,1981.0,25.1,1.0,,4.0,,,0.16,,0.25,,0.0,0.0
678,Julián Cuesta,es ESP,GK,Sevilla,La Liga,21.0,1991.0,1.0,0.0,,0.0,,,0.0,,,,0.0,0.0
679,Jhon Culma,co COL,MF,Brest,Ligue 1,31.0,1981.0,4.0,0.0,,0.0,,,0.0,,,,0.0,0.0
680,Shaun Cummings,jm JAM,DF,Reading,Premier League,23.0,1989.0,9.0,0.0,,0.0,,,0.0,,,,0.0,0.0
681,Gianluca Curci,it ITA,GK,Bologna,Serie A,27.0,1985.0,12.9,0.0,,0.0,,,0.0,,,,0.0,0.0
682,Darío Cvitanich,ar ARG,FW,Nice,Ligue 1,28.0,1984.0,25.8,19.0,,46.0,,,1.78,,0.3,,5.0,6.0
683,Gaetano D'Agostino,it ITA,MF,Siena,Serie A,30.0,1982.0,5.6,0.0,,2.0,,,0.35,,0.0,,0.0,0.0
684,Gaetano D'Agostino,it ITA,MF,Pescara,Serie A,30.0,1982.0,5.2,2.0,,3.0,,,0.58,,0.33,,1.0,1.0
685,Danilo D'Ambrosio,it ITA,DF,Torino,Serie A,23.0,1988.0,21.8,2.0,,3.0,,,0.14,,0.67,,0.0,0.0
686,Berkay Dabanlı,tr TUR,DF,Nürnberg,Bundesliga,22.0,1990.0,2.8,0.0,,0.0,,,0.0,,,,0.0,0.0
687,Bryan Dabo,bf BFA,MF,Montpellier,Ligue 1,20.0,1992.0,9.3,0.0,,0.0,,,0.0,,,,0.0,0.0
688,Mouhamadou Dabo,fr FRA,DF,Lyon,Ligue 1,25.0,1986.0,28.6,0.0,,2.0,,,0.07,,0.0,,0.0,0.0
689,Filip Daems,be BEL,DF,M'Gladbach,Bundesliga,33.0,1978.0,16.6,1.0,,1.0,,,0.06,,0.0,,1.0,1.0
690,Omar Daf,sn SEN,DF,Sochaux,Ligue 1,35.0,1977.0,0.3,0.0,,0.0,,,0.0,,,,0.0,0.0
691,Nejmeddin Daghfous,tn TUN,"FW,MF",Mainz 05,Bundesliga,25.0,1986.0,0.1,0.0,,0.0,,,0.0,,,,0.0,0.0
692,Dario Dainelli,it ITA,DF,Chievo,Serie A,33.0,1979.0,32.3,0.0,,3.0,,,0.09,,0.0,,0.0,0.0
693,Felipe dal Belo,br BRA,DF,Siena,Serie A,28.0,1984.0,32.8,0.0,,0.0,,,0.0,,,,0.0,0.0
694,Gaël Danic,fr FRA,MF,Valenciennes,Ligue 1,30.0,1981.0,27.4,5.0,,19.0,,,0.69,,0.11,,3.0,3.0
695,Guillermo Daniel Rodríguez,uy URU,DF,Torino,Serie A,28.0,1984.0,20.8,0.0,,1.0,,,0.05,,0.0,,0.0,0.0
696,Dante,br BRA,DF,Bayern Munich,Bundesliga,28.0,1983.0,29.0,1.0,,4.0,,,0.14,,0.25,,0.0,0.0
697,Romain Danzé,fr FRA,"DF,MF",Rennes,Ligue 1,26.0,1986.0,27.0,1.0,,8.0,,,0.3,,0.13,,0.0,0.0
698,Fabien Dao Castellana,fr FRA,MF,Nice,Ligue 1,19.0,1993.0,0.2,0.0,,0.0,,,0.0,,,,0.0,0.0
699,Stéphane Darbion,fr FRA,MF,Troyes,Ligue 1,28.0,1984.0,20.8,4.0,,14.0,,,0.67,,0.29,,0.0,0.0
700,Matteo Darmian,it ITA,"DF,MF",Torino,Serie A,22.0,1989.0,29.9,0.0,,0.0,,,0.0,,,,0.0,0.0
702,Ben Davies,wls WAL,"DF,MF",Swansea City,Premier League,19.0,1993.0,33.9,1.0,,2.0,,,0.06,,0.5,,0.0,0.0
703,Kelvin Davis,eng ENG,GK,Southampton,Premier League,35.0,1976.0,9.5,0.0,,0.0,,,0.0,,,,0.0,0.0
704,Steven Davis,nir NIR,MF,Southampton,Premier League,27.0,1985.0,23.0,2.0,,11.0,,,0.48,,0.18,,0.0,0.0
705,Simon Dawkins,jm JAM,"FW,MF",Aston Villa,Premier League,24.0,1987.0,0.8,0.0,,1.0,,,1.2,,0.0,,0.0,0.0
706,Craig Dawson,eng ENG,DF,West Brom,Premier League,22.0,1990.0,1.0,0.0,,0.0,,,0.0,,,,0.0,0.0
707,Michael Dawson,eng ENG,DF,Tottenham,Premier League,28.0,1983.0,22.3,1.0,,4.0,,,0.18,,0.25,,0.0,0.0
708,Kevin De Bruyne,be BEL,"FW,MF",Werder Bremen,Bundesliga,21.0,1991.0,32.9,10.0,,34.0,,,1.03,,0.29,,0.0,0.0
709,Paolo De Ceglie,it ITA,DF,Juventus,Serie A,25.0,1986.0,9.7,0.0,,3.0,,,0.31,,0.0,,0.0,0.0
710,Giuseppe De Luca,it ITA,FW,Atalanta,Serie A,20.0,1991.0,8.3,2.0,,9.0,,,1.08,,0.22,,0.0,0.0
711,Steve De Ridder,be BEL,"FW,MF",Southampton,Premier League,25.0,1987.0,0.6,0.0,,0.0,,,0.0,,,,0.0,0.0
712,Daniele De Rossi,it ITA,"DF,MF",Roma,Serie A,29.0,1983.0,19.5,0.0,,5.0,,,0.26,,0.0,,0.0,0.0
713,Morgan De Sanctis,it ITA,GK,Napoli,Serie A,35.0,1977.0,34.0,0.0,,0.0,,,0.0,,,,0.0,0.0
714,Mattia De Sciglio,it ITA,DF,Milan,Serie A,19.0,1992.0,24.7,0.0,,2.0,,,0.08,,0.0,,0.0,0.0
715,Lorenzo De Silvestri,it ITA,"DF,MF",Sampdoria,Serie A,24.0,1988.0,20.4,2.0,,9.0,,,0.44,,0.22,,0.0,0.0
716,Mathieu Debuchy,fr FRA,DF,Newcastle Utd,Premier League,27.0,1985.0,13.0,0.0,,0.0,,,0.0,,,,0.0,0.0
717,Mathieu Debuchy,fr FRA,DF,Lille,Ligue 1,27.0,1985.0,14.7,0.0,,1.0,,,0.07,,0.0,,0.0,0.0
718,Jermain Defoe,eng ENG,FW,Tottenham,Premier League,29.0,1982.0,26.8,11.0,,46.0,,,1.72,,0.24,,0.0,0.0
719,Ashkan Dejagah,ir IRN,"FW,MF",Fulham,Premier League,26.0,1986.0,13.3,0.0,,2.0,,,0.15,,0.0,,0.0,0.0
720,Ashkan Dejagah,ir IRN,"FW,MF",Wolfsburg,Bundesliga,26.0,1986.0,0.7,0.0,,0.0,,,0.0,,,,0.0,0.0
721,Dario Del Fabro,it ITA,DF,Cagliari,Serie A,17.0,1995.0,1.7,0.0,,0.0,,,0.0,,,,0.0,0.0
722,Cristiano Del Grosso,it ITA,DF,Siena,Serie A,29.0,1983.0,14.9,0.0,,1.0,,,0.07,,0.0,,0.0,0.0
723,Cristiano Del Grosso,it ITA,DF,Atalanta,Serie A,29.0,1983.0,11.7,1.0,,1.0,,,0.09,,1.0,,0.0,0.0
724,Manu del Moral,es ESP,FW,Sevilla,La Liga,28.0,1984.0,8.8,1.0,,8.0,,,0.91,,0.13,,0.0,0.0
725,Rory Delap,ie IRL,MF,Stoke City,Premier League,36.0,1976.0,0.1,0.0,,0.0,,,0.0,,,,0.0,0.0
726,Nathan Delfouneso,eng ENG,"FW,MF",Aston Villa,Premier League,21.0,1991.0,0.5,0.0,,0.0,,,0.0,,,,0.0,0.0
728,Andrija Delibašić,me MNE,FW,Rayo Vallecano,La Liga,31.0,1981.0,14.3,6.0,,13.0,,,0.91,,0.46,,0.0,0.0
729,Francesco Della Rocca,it ITA,MF,Siena,Serie A,24.0,1987.0,16.1,0.0,,0.0,,,0.0,,,,0.0,0.0
730,Paolo Dellafiore,it ITA,DF,Siena,Serie A,27.0,1985.0,2.0,0.0,,0.0,,,0.0,,,,0.0,0.0
731,Joris Delle,fr FRA,GK,Nice,Ligue 1,22.0,1990.0,12.5,0.0,,0.0,,,0.0,,,,0.0,0.0
732,Andy Delort,dz ALG,FW,Ajaccio,Ligue 1,20.0,1991.0,2.8,1.0,,5.0,,,1.76,,0.0,,1.0,1.0
733,Fabian Delph,eng ENG,"DF,MF",Aston Villa,Premier League,22.0,1989.0,18.9,0.0,,5.0,,,0.26,,0.0,,0.0,0.0
734,Matthieu Delpierre,fr FRA,DF,Hoffenheim,Bundesliga,31.0,1981.0,21.4,1.0,,2.0,,,0.09,,0.5,,0.0,0.0
735,Garra Dembélé,ml MLI,"FW,MF",Freiburg,Bundesliga,26.0,1986.0,0.4,0.0,,1.0,,,2.5,,0.0,,0.0,0.0
736,Mousa Dembélé,be BEL,MF,Tottenham,Premier League,25.0,1987.0,24.4,1.0,,9.0,,,0.37,,0.11,,0.0,0.0
737,Mousa Dembélé,be BEL,MF,Fulham,Premier League,25.0,1987.0,2.0,0.0,,2.0,,,1.0,,0.0,,0.0,0.0
738,Guy Demel,ci CIV,"DF,MF",West Ham,Premier League,31.0,1981.0,27.5,0.0,,2.0,,,0.07,,0.0,,0.0,0.0
739,Martín Demichelis,ar ARG,"DF,MF",Málaga,La Liga,31.0,1980.0,30.3,3.0,,6.0,,,0.2,,0.5,,0.0,0.0
740,Vadim Demidov,no NOR,"DF,MF",Celta Vigo,La Liga,25.0,1986.0,11.3,0.0,,0.0,,,0.0,,,,0.0,0.0
741,Vadim Demidov,no NOR,"DF,MF",Eint Frankfurt,Bundesliga,25.0,1986.0,4.1,0.0,,0.0,,,0.0,,,,0.0,0.0
742,Clint Dempsey,us USA,"FW,MF",Tottenham,Premier League,29.0,1983.0,22.1,7.0,,32.0,,,1.45,,0.22,,0.0,0.0
743,Johannes van den Bergh,de GER,"DF,MF",Düsseldorf,Bundesliga,25.0,1986.0,32.6,0.0,,0.0,,,0.0,,,,0.0,0.0
744,Germán Denis,ar ARG,FW,Atalanta,Serie A,30.0,1981.0,34.7,15.0,,42.0,,,1.21,,0.24,,5.0,5.0
745,Mathieu Deplagne,fr FRA,DF,Montpellier,Ligue 1,20.0,1991.0,2.0,0.0,,0.0,,,0.0,,,,0.0,0.0
746,Rafael van der Vaart,nl NED,MF,Tottenham,Premier League,29.0,1983.0,0.9,0.0,,0.0,,,0.0,,,,0.0,0.0
747,Rafael van der Vaart,nl NED,MF,Hamburger SV,Bundesliga,29.0,1983.0,25.3,5.0,,30.0,,,1.19,,0.13,,1.0,2.0
748,Gregory van der Wiel,nl NED,DF,Paris S-G,Ligue 1,24.0,1988.0,17.3,1.0,,5.0,,,0.29,,0.2,,0.0,0.0
749,Eren Derdiyok,ch SUI,FW,Hoffenheim,Bundesliga,24.0,1988.0,8.8,1.0,,8.0,,,0.91,,0.13,,0.0,0.0
750,Geoffrey Dernis,fr FRA,"FW,MF",Brest,Ligue 1,31.0,1980.0,8.9,1.0,,5.0,,,0.56,,0.2,,0.0,0.0
751,Shaun Derry,eng ENG,MF,QPR,Premier League,34.0,1977.0,12.1,0.0,,2.0,,,0.17,,0.0,,0.0,0.0
752,Daniele Dessena,it ITA,MF,Cagliari,Serie A,25.0,1987.0,25.6,3.0,,9.0,,,0.35,,0.33,,0.0,0.0
754,Mattia Destro,it ITA,FW,Roma,Serie A,21.0,1991.0,12.3,6.0,,23.0,,,1.87,,0.26,,0.0,0.0
755,Gerard Deulofeu,es ESP,"FW,MF",Barcelona,La Liga,18.0,1994.0,0.3,0.0,,0.0,,,0.0,,,,0.0,0.0
756,Antoine Devaux,fr FRA,"DF,MF",Reims,Ligue 1,27.0,1985.0,28.0,0.0,,5.0,,,0.18,,0.0,,0.0,0.0
757,Zouheir Dhaouadi,tn TUN,"FW,MF",Evian,Ligue 1,24.0,1988.0,2.6,1.0,,2.0,,,0.77,,0.5,,0.0,0.0
758,Valerio Di Cesare,it ITA,DF,Torino,Serie A,29.0,1983.0,7.5,0.0,,1.0,,,0.13,,0.0,,0.0,0.0
759,Federico Di Francesco,it ITA,"FW,MF",Pescara,Serie A,18.0,1994.0,5.2,0.0,,2.0,,,0.38,,0.0,,0.0,0.0
760,Ángel Di María,ar ARG,"FW,MF",Real Madrid,La Liga,24.0,1988.0,21.8,7.0,,20.0,,,0.92,,0.35,,0.0,0.0
761,David Di Michele,it ITA,FW,Chievo,Serie A,36.0,1976.0,5.7,1.0,,5.0,,,0.88,,0.2,,0.0,0.0
762,Antonio Di Natale,it ITA,FW,Udinese,Serie A,34.0,1977.0,29.9,23.0,,63.0,,,2.11,,0.3,,4.0,6.0
763,Franco Di Santo,ar ARG,FW,Wigan Athletic,Premier League,23.0,1989.0,23.6,5.0,,27.0,,,1.14,,0.19,,0.0,0.0
764,Cheick Diabaté,ml MLI,FW,Bordeaux,Ligue 1,24.0,1988.0,14.1,8.0,,25.0,,,1.77,,0.28,,1.0,1.0
765,Abou Diaby,fr FRA,MF,Arsenal,Premier League,26.0,1986.0,7.8,0.0,,3.0,,,0.38,,0.0,,0.0,0.0
766,Fallou Diagne,sn SEN,DF,Freiburg,Bundesliga,22.0,1989.0,27.1,1.0,,2.0,,,0.07,,0.5,,0.0,0.0
767,Pape Diakhaté,sn SEN,DF,Granada,La Liga,28.0,1984.0,16.6,0.0,,1.0,,,0.06,,0.0,,0.0,0.0
768,Samba Diakité,ml MLI,MF,QPR,Premier League,23.0,1989.0,10.4,0.0,,1.0,,,0.1,,0.0,,0.0,0.0
769,Sadio Diallo,gn GUI,"FW,MF",Rennes,Ligue 1,21.0,1990.0,19.0,0.0,,9.0,,,0.47,,0.0,,0.0,0.0
770,Alessandro Diamanti,it ITA,"FW,MF",Bologna,Serie A,29.0,1983.0,32.6,7.0,,46.0,,,1.41,,0.09,,3.0,4.0
771,Mohamed Diamé,sn SEN,MF,West Ham,Premier League,25.0,1987.0,28.8,3.0,,18.0,,,0.62,,0.17,,0.0,0.0
772,Alou Diarra,fr FRA,MF,West Ham,Premier League,31.0,1981.0,1.6,0.0,,1.0,,,0.64,,0.0,,0.0,0.0
773,Alou Diarra,fr FRA,MF,Rennes,Ligue 1,31.0,1981.0,8.3,0.0,,0.0,,,0.0,,,,0.0,0.0
774,Lassana Diarra,fr FRA,MF,Real Madrid,La Liga,27.0,1985.0,1.3,0.0,,0.0,,,0.0,,,,0.0,0.0
775,Mahamadou Diarra,ml MLI,MF,Fulham,Premier League,31.0,1981.0,6.7,0.0,,0.0,,,0.0,,,,0.0,0.0
776,Sigamary Diarra,ml MLI,"FW,MF",Ajaccio,Ligue 1,28.0,1984.0,21.3,1.0,,18.0,,,0.85,,0.06,,0.0,0.0
777,André Dias,br BRA,DF,Lazio,Serie A,33.0,1979.0,23.9,0.0,,5.0,,,0.21,,0.0,,0.0,0.0
778,Rafaël Dias,fr FRA,MF,Sochaux,Ligue 1,21.0,1991.0,6.5,1.0,,6.0,,,0.92,,0.17,,0.0,0.0
780,Baba Diawara,sn SEN,FW,Sevilla,La Liga,24.0,1988.0,7.1,0.0,,8.0,,,1.13,,0.0,,0.0,0.0
781,Fousseni Diawara,ml MLI,DF,Ajaccio,Ligue 1,31.0,1980.0,18.0,2.0,,5.0,,,0.28,,0.4,,0.0,0.0
782,Souleymane Diawara,sn SEN,DF,Marseille,Ligue 1,33.0,1978.0,8.4,1.0,,2.0,,,0.24,,0.5,,0.0,0.0
783,Cata Díaz,ar ARG,DF,Atlético Madrid,La Liga,33.0,1979.0,8.0,0.0,,0.0,,,0.0,,,,0.0,0.0
784,Ayoze Díaz Díaz,es ESP,"DF,MF",La Coruña,La Liga,30.0,1982.0,11.1,0.0,,4.0,,,0.36,,0.0,,0.0,0.0
785,Júnior Díaz,cr CRC,"DF,MF",Mainz 05,Bundesliga,28.0,1983.0,14.5,1.0,,1.0,,,0.07,,1.0,,0.0,0.0
786,Kévin Diaz,fr FRA,MF,Nice,Ligue 1,23.0,1988.0,4.6,0.0,,1.0,,,0.22,,0.0,,0.0,0.0
787,Daniel Didavi,de GER,"FW,MF",Stuttgart,Bundesliga,22.0,1990.0,0.7,0.0,,0.0,,,0.0,,,,0.0,0.0
788,Étienne Didot,fr FRA,MF,Toulouse,Ligue 1,29.0,1983.0,32.2,2.0,,10.0,,,0.31,,0.2,,0.0,0.0
789,Diego,br BRA,"DF,MF",Reims,Ligue 1,24.0,1988.0,25.3,4.0,,22.0,,,0.87,,0.14,,1.0,2.0
790,Diego,br BRA,MF,Wolfsburg,Bundesliga,27.0,1985.0,32.0,10.0,,33.0,,,1.03,,0.21,,3.0,3.0
791,Dennis Diekmeier,de GER,"DF,MF",Hamburger SV,Bundesliga,22.0,1989.0,31.6,0.0,,1.0,,,0.03,,0.0,,0.0,0.0
792,Timothée Dieng,fr FRA,"DF,MF",Brest,Ligue 1,20.0,1992.0,1.7,0.0,,0.0,,,0.0,,,,0.0,0.0
793,Didier Digard,fr FRA,MF,Nice,Ligue 1,26.0,1986.0,34.4,2.0,,11.0,,,0.32,,0.18,,0.0,0.0
794,Lucas Digne,fr FRA,"DF,MF",Lille,Ligue 1,19.0,1993.0,31.2,2.0,,5.0,,,0.16,,0.2,,1.0,1.0
795,Ismaël Diomandé,ci CIV,MF,Saint-Étienne,Ligue 1,19.0,1992.0,0.1,0.0,,0.0,,,0.0,,,,0.0,0.0
796,Abou Diop,sn SEN,FW,Torino,Serie A,18.0,1993.0,0.2,0.0,,0.0,,,0.0,,,,0.0,0.0
797,Papakouli Diop,sn SEN,MF,Levante,La Liga,26.0,1986.0,27.7,0.0,,6.0,,,0.22,,0.0,,0.0,0.0
798,Sylvain Distin,fr FRA,DF,Everton,Premier League,34.0,1977.0,31.5,0.0,,6.0,,,0.19,,0.0,,0.0,0.0
799,Brice Dja Djédjé,ci CIV,"DF,MF",Evian,Ligue 1,21.0,1990.0,25.9,1.0,,5.0,,,0.19,,0.2,,0.0,0.0
800,Franck Dja Djédjé,ci CIV,"FW,MF",Nice,Ligue 1,26.0,1986.0,2.2,0.0,,2.0,,,0.91,,0.0,,0.0,0.0
801,Constant Djakpa,ci CIV,DF,Eint Frankfurt,Bundesliga,25.0,1986.0,2.0,0.0,,0.0,,,0.0,,,,0.0,0.0
