,Squad,Comp,# Pl,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
71,Real Madrid,La Liga,26.0,38.0,23733.0,21828.0,1821.0,534.0,59.0,445.0,776.0,786.0,192.0,51.0,68.0,0.0,20107.0,84.0,328.0
72,Real Sociedad,La Liga,27.0,38.0,20229.0,18172.0,1979.0,598.0,54.0,115.0,719.0,868.0,181.0,99.0,33.0,2.0,15989.0,78.0,376.0
73,Reims,Ligue 1,26.0,28.0,13260.0,11748.0,1467.0,412.0,30.0,130.0,539.0,653.0,143.0,31.0,86.0,4.0,10325.0,45.0,220.0
74,Rennes,Ligue 1,26.0,28.0,13199.0,11752.0,1407.0,403.0,24.0,120.0,478.0,629.0,124.0,64.0,47.0,1.0,10388.0,40.0,208.0
75,Roma,Serie A,31.0,38.0,19325.0,17490.0,1790.0,522.0,57.0,213.0,781.0,664.0,267.0,58.0,162.0,1.0,15972.0,45.0,289.0
76,Saint-Étienne,Ligue 1,31.0,28.0,13149.0,11633.0,1473.0,375.0,24.0,119.0,563.0,678.0,140.0,87.0,36.0,2.0,10048.0,43.0,227.0
77,Sampdoria,Serie A,31.0,38.0,15949.0,13988.0,1898.0,556.0,28.0,120.0,814.0,735.0,195.0,96.0,67.0,0.0,11918.0,63.0,306.0
78,Sassuolo,Serie A,31.0,38.0,21873.0,19942.0,1867.0,621.0,46.0,117.0,562.0,677.0,207.0,118.0,68.0,1.0,18601.0,64.0,296.0
79,Schalke 04,Bundesliga,29.0,34.0,15752.0,13909.0,1762.0,445.0,33.0,105.0,472.0,807.0,152.0,17.0,110.0,2.0,12014.0,81.0,332.0
80,Sevilla,La Liga,26.0,38.0,21733.0,19673.0,1968.0,553.0,30.0,384.0,880.0,837.0,226.0,72.0,79.0,6.0,17525.0,92.0,350.0
81,Sheffield Utd,Premier League,26.0,38.0,16858.0,14962.0,1818.0,375.0,15.0,206.0,866.0,882.0,212.0,150.0,18.0,18.0,12125.0,78.0,341.0
82,Southampton,Premier League,25.0,38.0,17468.0,15450.0,1960.0,448.0,27.0,133.0,690.0,950.0,210.0,106.0,87.0,5.0,12488.0,58.0,331.0
83,SPAL,Serie A,34.0,38.0,16878.0,14912.0,1913.0,596.0,12.0,130.0,693.0,691.0,158.0,63.0,65.0,1.0,13281.0,53.0,321.0
84,Strasbourg,Ligue 1,25.0,27.0,12842.0,11488.0,1321.0,342.0,23.0,215.0,579.0,592.0,129.0,46.0,60.0,0.0,10044.0,33.0,205.0
85,Torino,Serie A,27.0,38.0,16330.0,14310.0,1957.0,611.0,14.0,182.0,756.0,706.0,180.0,54.0,34.0,1.0,12572.0,63.0,318.0
86,Tottenham,Premier League,29.0,38.0,20296.0,18404.0,1826.0,464.0,79.0,113.0,641.0,785.0,200.0,116.0,51.0,1.0,16101.0,66.0,344.0
87,Toulouse,Ligue 1,30.0,28.0,12290.0,10842.0,1418.0,341.0,15.0,60.0,534.0,582.0,123.0,43.0,72.0,0.0,9333.0,30.0,214.0
88,Udinese,Serie A,25.0,38.0,16971.0,15127.0,1779.0,470.0,19.0,151.0,730.0,664.0,200.0,73.0,55.0,0.0,13373.0,65.0,311.0
89,Union Berlin,Bundesliga,26.0,34.0,13664.0,11861.0,1739.0,439.0,13.0,47.0,628.0,796.0,137.0,65.0,61.0,2.0,9451.0,64.0,317.0
90,Valencia,La Liga,28.0,38.0,18258.0,16284.0,1874.0,591.0,46.0,238.0,677.0,688.0,169.0,54.0,70.0,8.0,14490.0,100.0,257.0
91,Valladolid,La Liga,30.0,38.0,15457.0,13389.0,1987.0,574.0,24.0,214.0,645.0,806.0,161.0,62.0,56.0,0.0,11187.0,81.0,293.0
92,Villarreal,La Liga,25.0,38.0,20045.0,18098.0,1876.0,510.0,42.0,267.0,619.0,804.0,148.0,53.0,57.0,0.0,16218.0,71.0,290.0
93,Watford,Premier League,26.0,38.0,15775.0,13907.0,1800.0,398.0,11.0,134.0,684.0,838.0,167.0,92.0,49.0,2.0,11230.0,68.0,285.0
94,Werder Bremen,Bundesliga,30.0,34.0,16729.0,14830.0,1846.0,528.0,17.0,101.0,601.0,745.0,160.0,68.0,78.0,2.0,12893.0,53.0,350.0
95,West Ham,Premier League,29.0,38.0,16861.0,14967.0,1828.0,432.0,38.0,156.0,737.0,815.0,190.0,111.0,54.0,6.0,12451.0,66.0,358.0
96,Wolfsburg,Bundesliga,26.0,34.0,15677.0,13799.0,1806.0,444.0,37.0,138.0,651.0,876.0,167.0,51.0,73.0,6.0,11610.0,72.0,344.0
97,Wolves,Premier League,21.0,38.0,18474.0,16650.0,1775.0,405.0,40.0,203.0,718.0,816.0,193.0,55.0,80.0,0.0,14298.0,49.0,323.0
