,Player,Squad,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
782,Alberto Dossena,Como,11,958,87,88.7,10.6,11,87,8,0,0.0,1,0.91,13,18,-5,-0.47,+3.22,12.2,13.2,-1.0,-0.09,+0.23
783,Abdoulaye Doucoure,Everton,9,650,72,65.7,7.2,8,80,4,1,8,1,1.11,5,10,-5,-0.69,-0.16,7.2,11.0,-3.8,-0.53,-0.46
784,Cheick Doucoure,Crystal Palace,5,133,27,13.4,1.5,1,45,0,4,22,1,0.60,1,2,-1,-0.68,-0.05,1.9,2.3,-0.5,-0.31,-0.10
785,Sekou Doucoure,Nantes,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786,Desire Doue,Paris S-G,8,326,41,32.9,3.6,2,77,1,6,29,1,2.75,8,6,+2,+0.55,-2.29,9.7,4.0,+5.7,+1.57,-0.58
787,Guela Doue,Strasbourg,10,900,90,90.9,10.0,10,90,10,0,0.0,0,1.30,18,18,0,0.00,+2.00,15.3,17.6,-2.3,-0.23,+1.33
788,Douglas,Nantes,9,756,84,76.4,8.4,9,84,4,0,0.0,1,0.67,10,14,-4,-0.48,-0.86,10.0,13.8,-3.8,-0.45,-0.48
789,Ismael Doukoure,Strasbourg,10,854,85,86.3,9.5,10,85,6,0,0.0,0,1.30,17,17,0,0.00,+1.32,14.8,16.5,-1.7,-0.18,+1.28
790,Issa Doumbia,Venezia,6,146,24,13.5,1.6,1,60,0,5,17,6,0.67,2,3,-1,-0.62,+0.25,1.8,2.7,-0.9,-0.55,-0.07
791,Kamory Doumbia,Brest,8,337,42,34.0,3.7,3,74,1,5,23,0,1.25,4,5,-1,-0.27,+0.28,3.5,6.7,-3.2,-0.86,-0.30
792,Amidou Doumbouya,Nice,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
793,Anastasios Douvikas,Celta Vigo,13,484,37,41.4,5.4,4,69,0,9,23,0,1.31,11,9,+2,+0.37,+0.90,9.8,6.6,+3.1,+0.58,+0.57
794,Artem Dovbyk,Roma,11,953,87,88.2,10.6,11,87,7,0,0.0,0,0.91,13,15,-2,-0.19,+0.52,14.7,15.6,-0.9,-0.09,-0.14
795,Flynn Downes,Southampton,10,896,90,90.5,10.0,10,90,9,0,0.0,0,0.40,7,19,-12,-1.21,+0.71,11.2,20.7,-9.5,-0.95,+0.11
796,Tommy Doyle,Wolves,8,266,33,26.9,3.0,2,76,1,6,19,3,0.38,2,7,-5,-1.69,-0.95,2.2,6.2,-4.0,-1.35,-0.82
797,Radu Dragusin,Tottenham,4,280,70,28.3,3.1,3,90,3,1,10,7,1.50,6,5,+1,+0.32,-0.82,5.8,5.4,+0.4,+0.13,-0.87
798,Patrick Drewes,Bochum,10,900,90,100.0,10.0,10,90,10,0,0.0,0,0.20,10,30,-20,-2.00,0.0,12.0,24.7,-12.7,-1.27,0.0
799,Tim Drexler,Hoffenheim,8,357,45,39.7,4.0,5,54,1,3,29,2,1.00,5,12,-7,-1.76,-1.93,4.9,11.3,-6.4,-1.61,-1.47
800,Domingos Duarte,Getafe,1,90,90,7.7,1.0,1,90,1,0,0.0,12,0.00,0,1,-1,-1.00,-0.83,0.6,0.2,+0.4,+0.42,+0.26
801,Martin Dubravka,Newcastle Utd,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
802,Marvin Ducksch,Werder Bremen,10,803,80,89.2,8.9,10,80,3,0,0.0,0,1.50,15,18,-3,-0.34,+0.59,12.2,13.0,-0.7,-0.08,-0.51
803,Ondrej Duda,Hellas Verona,9,713,79,66.0,7.9,8,84,4,1,45,0,1.33,12,13,-1,-0.13,+2.08,9.4,11.2,-1.8,-0.22,+1.24
804,Denzel Dumfries,Inter,10,480,48,44.4,5.3,4,83,3,6,25,2,1.90,11,9,+2,+0.37,-1.13,11.9,6.6,+5.3,+0.99,+0.51
806,Alfred Duncan,Venezia,9,653,73,60.5,7.3,8,80,5,1,14,0,0.56,7,15,-8,-1.10,-0.68,6.2,10.0,-3.8,-0.52,-0.07
807,Lewis Dunk,Brighton,8,705,88,71.2,7.8,8,88,7,0,0.0,0,1.88,13,10,+3,+0.38,+0.07,11.8,13.3,-1.5,-0.19,-0.06
808,Maxime Dupe,Nice,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
809,Jhon Duran,Aston Villa,11,289,26,29.2,3.2,0,0.0,0,11,26,0,1.64,7,9,-2,-0.62,-0.88,4.6,5.7,-1.0,-0.32,-0.83
