,Player,Squad,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
1458,Vedat Muriqi,Mallorca,5.2,0,0,0,0,0,0,0,0.0,0,0,0,0,3,3,12,0
1459,Jacob Murphy,Newcastle Utd,4.5,8,6,4,3,1,5,8,62.5,3,6,0,6,1,9,2,0
1460,Yunus Musah,Milan,1.7,6,5,2,2,2,1,1,100.0,0,2,0,2,1,7,1,0
1461,Jamal Musiala,Bayern Munich,4.3,7,5,2,3,2,1,6,16.7,5,4,0,4,3,10,2,0
1462,Florent Muslija,Freiburg,0.9,4,3,3,0,1,2,2,100.0,0,0,0,0,1,5,0,0
1463,Juan Musso,Atalanta,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
1464,Juan Musso,Atlético Madrid,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
1465,Kingstone Mutandwa,Cagliari,0.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
1466,Junior Mwanga,Strasbourg,1.7,8,3,7,1,0,4,6,66.7,2,0,0,0,0,8,1,0
1467,Phillipp Mwene,Mainz 05,5.9,13,7,5,7,1,3,6,50.0,3,6,1,5,7,20,15,0
1468,Vitaliy Mykolenko,Everton,4.3,4,2,3,1,0,2,6,33.3,4,3,1,2,4,8,19,0
1469,Joakim Maehle,Wolfsburg,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
1470,Obite N'Dicka,Roma,7.0,8,7,4,4,0,4,4,100.0,0,8,6,2,7,15,27,1
1471,Nathan N'Goumou,Gladbach,2.4,5,5,3,1,1,2,4,50.0,2,5,0,5,2,7,3,0
1472,Stanley N'Soki,Hoffenheim,0.2,1,0,1,0,0,0,0,0.0,0,1,0,1,0,1,3,0
1473,Mickael Nade,Saint-Étienne,2.6,9,6,5,4,0,3,3,100.0,0,9,3,6,3,12,8,1
1474,Mahamadou Nagida,Rennes,0.4,1,1,0,0,1,1,1,100.0,0,1,0,1,2,3,0,0
1475,Keito Nakamura,Reims,5.4,7,7,1,3,3,3,6,50.0,3,5,0,5,5,12,2,0
1476,Sebastian Nanasi,Strasbourg,4.5,3,2,0,3,0,1,4,25.0,3,4,1,3,0,3,3,0
1477,Matija Nastasic,Leganés,3.5,3,3,2,1,0,0,2,0.0,2,11,8,3,5,8,17,0
1478,Natan,Betis,7.1,8,6,6,1,1,6,6,100.0,0,9,5,4,9,17,32,0
1479,Pau Navarro,Villarreal,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,0
1480,Roberto Navarro,Mallorca,3.9,6,5,3,1,2,1,5,20.0,4,7,0,7,6,12,3,0
1482,Jesus Navas,Sevilla,2.4,3,1,2,0,1,0,1,0.0,1,0,0,0,2,5,3,0
1483,Michel Ndary Adopo,Cagliari,2.9,7,3,3,4,0,1,4,25.0,3,0,0,0,4,11,1,0
1484,Youssouf Ndayishimiye,Nice,4.6,12,5,9,3,0,4,6,66.7,2,5,3,2,6,18,25,1
1485,Iliman Ndiaye,Everton,5.4,12,7,5,3,4,7,11,63.6,4,7,3,4,7,19,4,0
1486,Rassoul Ndiaye,Le Havre,3.3,12,8,7,5,0,1,8,12.5,7,4,0,4,3,15,0,0
1487,Wilfred Ndidi,Leicester City,6.8,28,18,16,10,2,7,14,50.0,7,17,5,12,4,32,20,0
1488,Tanguy Ndombele,Nice,5.7,20,13,5,14,1,7,10,70.0,3,6,0,6,6,26,2,0
1489,Dan Ndoye,Bologna,4.6,1,1,1,0,0,0,4,0.0,4,4,0,4,0,1,0,0
1490,Paul Nebel,Mainz 05,0.7,3,1,2,0,1,2,2,100.0,0,3,0,3,2,5,3,0
1491,Kosta Nedeljkovic,Aston Villa,1.1,7,5,1,3,3,2,3,66.7,1,1,0,1,0,7,3,0
1492,Loic Nego,Le Havre,5.8,15,10,10,4,1,11,16,68.8,5,4,0,4,9,24,11,0
1493,Reiss Nelson,Arsenal,0.0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
1494,Reiss Nelson,Fulham,0.9,4,2,2,1,1,2,4,50.0,2,3,0,3,0,4,0,0
1495,David Neres,Napoli,0.8,1,1,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0
1496,Neto,Bournemouth,2.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1
1497,Pedro Neto,Chelsea,2.7,4,2,1,3,0,2,2,100.0,0,2,0,2,1,5,2,0
1498,Luca Netz,Gladbach,5.9,13,6,9,3,1,5,10,50.0,5,9,2,7,7,20,13,0
1499,Manuel Neuer,Bayern Munich,5.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,1
1500,Florian Neuhaus,Gladbach,0.3,1,0,1,0,0,0,4,0.0,4,0,0,0,1,2,0,0
1501,Joao Neves,Paris S-G,5.8,18,9,4,11,3,4,11,36.4,7,6,2,4,5,23,3,0
1502,Yvan Neyou,Leganés,4.9,8,6,3,5,0,6,10,60.0,4,6,0,6,6,14,7,0
1503,Cyril Ngonge,Napoli,0.1,1,1,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0
1504,Mikayil Ngor Faye,Rennes,1.1,2,2,2,0,0,2,2,100.0,0,1,0,1,1,3,4,0
1505,Steve Ngoura,Le Havre,0.7,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
1506,Moussa Niakhate,Lyon,5.0,17,10,15,2,0,8,9,88.9,1,6,3,3,2,19,22,1
1508,Abdoulaye Niakhate Ndiaye,Brest,1.6,3,2,1,2,0,2,2,100.0,0,3,0,3,2,5,14,0
1509,Ibrahima Niane,Angers,1.2,1,1,1,0,0,1,1,100.0,0,2,1,1,0,1,3,1
1510,Tanguy Nianzou,Sevilla,4.8,7,5,6,0,1,5,5,100.0,0,1,0,1,8,15,24,0
1511,Rasmus Nicolaisen,Toulouse,6.9,6,3,4,2,0,3,5,60.0,2,10,5,5,10,16,25,0
1512,Moritz Nicolas,Gladbach,3.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1
1513,Hans Nicolussi Caviglia,Venezia,3.6,7,2,0,3,4,4,6,66.7,2,3,2,1,3,10,4,0
