,Player,Squad,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
154,Ludwig Augustinsson,Werder Bremen,21.7,68,3.13,37,26,1,2,1,1,7,0.32,3,4,0,0,0,0
156,Serge Aurier,Tottenham,17.8,38,2.13,26,1,4,4,1,2,5,0.28,3,1,1,0,0,0
157,Charlie Austin,West Brom,1.5,1,0.66,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
158,Ezequiel Avila,Osasuna,2.2,3,1.34,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
159,Taiwo Awoniyi,Union Berlin,15.1,36,2.39,26,1,2,2,5,0,7,0.46,3,1,1,0,2,0
160,Mehmet Aydin,Schalke 04,5.6,2,0.36,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
161,Jordan Ayew,Crystal Palace,23.3,39,1.67,26,0,2,5,6,0,7,0.30,5,0,0,1,1,0
162,Kaan Ayhan,Sassuolo,8.8,4,0.45,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
163,Luke Ayling,Leeds United,37.8,52,1.38,43,2,3,1,3,0,4,0.11,4,0,0,0,0,0
164,Ramon Azeez,Granada,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
165,Cesar Azpilicueta,Chelsea,24.3,50,2.06,45,2,0,1,1,1,6,0.25,5,0,0,1,0,0
166,Ludovic Baal,Brest,3.3,5,1.53,5,0,0,0,0,0,1,0.31,1,0,0,0,0,0
167,Carlos Bacca,Villarreal,8.7,14,1.60,9,0,3,1,0,1,2,0.23,1,0,1,0,0,0
168,Loic Bade,Lens,29.0,23,0.79,20,0,2,1,0,0,1,0.03,1,0,0,0,0,0
169,Milan Badelj,Genoa,26.8,62,2.32,55,1,0,1,3,2,8,0.30,7,0,0,0,1,0
170,Edgar Badia,Elche,30.0,2,0.07,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
